Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
275	NA	2019-12-05	NA	0.2307	NA	0.1979	NA	4	NA	NA	NA	NA	NA	NA	0.041	NA	NA	2L	NA	1	11	10	4PMI
276	NA	2019-12-05	NA	0.3012	NA	0.2252	NA	5	NA	NA	NA	NA	NA	NA	0.0194	NA	NA	4H	NA	6	12	10	4PMI
277	NA	2019-12-05	NA	0.2059	NA	0.1445	NA	4	NA	NA	NA	NA	NA	NA	0.0336	NA	NA	15H	NA	6	13	10	4PMI
278	NA	2019-12-05	NA	0.4011	NA	0.3201	NA	5	NA	NA	NA	NA	NA	NA	0.0329	NA	NA	9H	NA	6	14	10	4PMI
279	NA	2019-12-05	NA	0.2035	NA	0.175	NA	5	NA	NA	NA	NA	NA	NA	0.0489	NA	NA	8L	NA	6	15	10	4PMI
280	NA	2019-12-05	NA	0.235	NA	0.1796	NA	4	NA	NA	NA	NA	NA	NA	0.0139	NA	NA	2H	NA	6	16	10	4PMI
281	NA	2019-12-05	NA	0.2821	NA	0.2079	NA	5	NA	NA	NA	NA	NA	NA	0.0409	NA	NA	15L	NA	6	17	10	4PMI
282	NA	2019-12-05	NA	0.2721	NA	0.2171	NA	4	NA	NA	NA	NA	NA	NA	0.038	NA	NA	14H	NA	6	18	10	4PMI
283	NA	2019-12-05	NA	0.1947	NA	0.1819	NA	4	NA	NA	NA	NA	NA	NA	0.0404	NA	NA	1L	NA	6	19	10	4PMI
284	NA	2019-12-05	NA	0.3638	NA	0.2423	NA	4	NA	NA	NA	NA	NA	NA	0.0256	NA	NA	10H	NA	6	20	10	4PMI
285	NA	2019-12-05	NA	0.2687	NA	0.2024	NA	4	NA	NA	NA	NA	NA	NA	0.0386	NA	NA	12H	NA	6	21	10	4PMI
286	NA	2019-12-05	NA	0.0116	NA	0.014	NA	4	NA	NA	NA	NA	NA	NA	0.0398	NA	NA	12L	NA	6	22	10	4PMI
287	NA	2019-12-05	NA	0.1611	NA	0.14	NA	5	NA	NA	NA	NA	NA	NA	0.035	NA	NA	6L	NA	1	1	9	4PMI
288	NA	2019-12-05	NA	0.0281	NA	0.0161	NA	3	NA	NA	NA	NA	NA	NA	0.1832	NA	NA	11L	NA	1	2	9	4PMI
289	NA	2019-12-05	NA	0.1637	NA	0.1153	NA	4	NA	NA	NA	NA	NA	NA	0.0176	NA	NA	4H	NA	1	3	9	4PMI
290	NA	2019-12-05	NA	0.0933	NA	0.0675	NA	4	NA	NA	NA	NA	NA	NA	0.0829	NA	NA	8L	NA	1	4	9	4PMI
291	NA	2019-12-05	NA	0.1616	NA	0.1085	NA	4	NA	NA	NA	NA	NA	NA	0.1065	NA	NA	9L	NA	1	5	9	4PMI
292	NA	2019-12-05	NA	0.1745	NA	0.1379	NA	5	NA	NA	NA	NA	NA	NA	0.0321	NA	NA	15L	NA	1	6	9	4PMI
293	NA	2019-12-05	NA	0.0631	NA	0.0717	NA	4	NA	NA	NA	NA	NA	NA	0.0592	NA	NA	13L	NA	1	7	9	4PMI
294	NA	2019-12-05	NA	0.1565	NA	0.1771	NA	4	NA	NA	NA	NA	NA	NA	0.0391	NA	NA	1L	NA	1	8	9	4PMI
295	NA	2019-12-05	NA	0.3174	NA	0.299	NA	5	NA	NA	NA	NA	NA	NA	0.0402	NA	NA	13H	NA	1	9	9	4PMI
296	NA	2019-12-05	NA	0.3923	NA	0.2854	NA	5	NA	NA	NA	NA	NA	NA	0.0383	NA	NA	7H	NA	1	10	9	4PMI
297	NA	2019-12-05	NA	0.391	NA	0.2867	NA	5	NA	NA	NA	NA	NA	NA	0.0274	NA	NA	8H	NA	1	11	9	4PMI
298	NA	2019-12-05	NA	0.2639	NA	0.2245	NA	5	NA	NA	NA	NA	NA	NA	0.0639	NA	NA	5H	NA	6	12	9	4PMI
299	NA	2019-12-05	NA	0.0962	NA	0.0705	NA	4	NA	NA	NA	NA	NA	NA	0.0101	NA	NA	20T	NA	6	13	9	4PMI
300	NA	2019-12-05	NA	0.2029	NA	0.1464	NA	4	NA	NA	NA	NA	NA	NA	0.0293	NA	NA	3H	NA	6	14	9	4PMI
301	NA	2019-12-05	NA	0.1898	NA	0.101	NA	4	NA	NA	NA	NA	NA	NA	0.0291	NA	NA	10L	NA	6	15	9	4PMI
302	NA	2019-12-05	NA	0.2036	NA	0.14	NA	4	NA	NA	NA	NA	NA	NA	0.0416	NA	NA	23T	NA	6	16	9	4PMI
303	NA	2019-12-05	NA	0.1881	NA	0.1501	NA	4	NA	NA	NA	NA	NA	NA	0.0535	NA	NA	2L	NA	6	17	9	4PMI
304	NA	2019-12-05	NA	0.0699	NA	0.0371	NA	4	NA	NA	NA	NA	NA	NA	0.0468	NA	NA	14L	NA	6	18	9	4PMI
305	NA	2019-12-05	NA	0.1856	NA	0.1818	NA	4	NA	NA	NA	NA	NA	NA	0.0249	NA	NA	24T	NA	6	19	9	4PMI
306	NA	2019-12-05	NA	0.1517	NA	0.1015	NA	4	NA	NA	NA	NA	NA	NA	0.1281	NA	NA	7L	NA	6	20	9	4PMI
307	NA	2019-12-05	NA	0.3345	NA	0.3033	NA	5	NA	NA	NA	NA	NA	NA	0.0405	NA	NA	6H	NA	6	21	9	4PMI
308	NA	2019-12-05	NA	0.1229	NA	0.0881	NA	4	NA	NA	NA	NA	NA	NA	0.0799	NA	NA	5L	NA	6	22	9	4PMI
309	NA	2019-12-05	NA	0.1549	NA	0.113	NA	4	NA	NA	NA	NA	NA	NA	0.086	NA	NA	14H	NA	1	1	8	4PMI
310	NA	2019-12-05	NA	0.0639	NA	0.0489	NA	4	NA	NA	NA	NA	NA	NA	0.0933	NA	NA	5L	NA	1	2	8	4PMI
