Unit ID	Timestamp	Device ID	Variable ID	Value
307	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.6166
308	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.315
309	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7526
310	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.5693
311	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7872
312	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.2514
313	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.42
314	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.2961
315	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.2987
316	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7414
317	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4741
318	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4501
401	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.6505
402	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.543
403	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4784
404	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.6763
405	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4427
406	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.6713
407	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3627
408	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.9335
409	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4395
410	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.5379
411	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.6765
412	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7485
413	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4364
414	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3658
415	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4001
416	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4657
417	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3645
418	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.5113
101	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0838
102	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0700
103	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0877
104	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0176
105	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1071
106	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0649
107	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1610
108	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0988
109	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1302
110	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0933
111	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1482
112	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0686
113	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1103
114	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1133
115	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1141
116	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0675
117	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0658
118	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0920
201	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0776
202	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1158
203	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0561
204	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1033
205	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1602
206	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0962
207	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0633
208	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0494
209	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0641
210	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0774
211	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1081
