Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
12	NA	2019-11-11	NA	32	6.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	7	12	1	FZJ
13	NA	2019-10-28	NA	9.5	2.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	7	13	1	FZJ
13	NA	2019-10-31	NA	13	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	7	13	1	FZJ
13	NA	2019-11-04	NA	36.5	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	7	13	1	FZJ
13	NA	2019-11-07	NA	45	5.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	7	13	1	FZJ
13	NA	2019-11-11	NA	49.5	6.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	7	13	1	FZJ
14	NA	2019-10-28	NA	10.5	2.5	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	7	14	1	FZJ
14	NA	2019-10-31	NA	19.1	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	7	14	1	FZJ
14	NA	2019-11-04	NA	31.9	4	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	7	14	1	FZJ
14	NA	2019-11-07	NA	39	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	7	14	1	FZJ
14	NA	2019-11-11	NA	44.5	6	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	7	14	1	FZJ
15	NA	2019-10-28	NA	4.5	1	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	7	15	1	FZJ
15	NA	2019-10-31	NA	15.5	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	7	15	1	FZJ
15	NA	2019-11-04	NA	28	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	7	15	1	FZJ
15	NA	2019-11-07	NA	41.7	5	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	7	15	1	FZJ
15	NA	2019-11-11	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	7	15	1	FZJ
16	NA	2019-10-28	NA	7.6	2.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	7	16	1	FZJ
16	NA	2019-10-31	NA	17.5	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	7	16	1	FZJ
16	NA	2019-11-04	NA	32	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	7	16	1	FZJ
16	NA	2019-11-07	NA	42	5	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	7	16	1	FZJ
16	NA	2019-11-11	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	7	16	1	FZJ
17	NA	2019-10-28	NA	7	2	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	7	17	1	FZJ
17	NA	2019-10-31	NA	16.5	2.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	7	17	1	FZJ
17	NA	2019-11-04	NA	22.5	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	7	17	1	FZJ
17	NA	2019-11-11	NA	29.8	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	7	17	1	FZJ
17	NA	2019-11-07	NA	31	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	7	17	1	FZJ
18	NA	2019-10-28	NA	8	2.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	7	18	1	FZJ
18	NA	2019-10-31	NA	19	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	7	18	1	FZJ
18	NA	2019-11-04	NA	32.5	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	7	18	1	FZJ
18	NA	2019-11-07	NA	41.8	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	7	18	1	FZJ
18	NA	2019-11-11	NA	52.2	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	7	18	1	FZJ
19	NA	2019-10-28	NA	2.5	1	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	19	1	FZJ
19	NA	2019-10-31	NA	9.5	3	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	19	1	FZJ
19	NA	2019-11-04	NA	23.1	4	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	19	1	FZJ
19	NA	2019-11-07	NA	32.5	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	19	1	FZJ
19	NA	2019-11-11	NA	38.8	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	19	1	FZJ
20	NA	2019-10-28	NA	8.5	2.5	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	20	1	FZJ
20	NA	2019-10-31	NA	18	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	20	1	FZJ
20	NA	2019-11-04	NA	34.5	4.5	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	20	1	FZJ
20	NA	2019-11-07	NA	44	5	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	20	1	FZJ
20	NA	2019-11-11	NA	50.8	6.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	20	1	FZJ
21	NA	2019-10-28	NA	6.5	1.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	21	1	FZJ
21	NA	2019-10-31	NA	12.2	2.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	21	1	FZJ
21	NA	2019-11-04	NA	27.2	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	21	1	FZJ
21	NA	2019-11-07	NA	27.5	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	21	1	FZJ
21	NA	2019-11-11	NA	28.6	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	21	1	FZJ
22	NA	2019-10-28	NA	3.5	2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	22	1	FZJ
22	NA	2019-10-31	NA	15.5	3.5	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	22	1	FZJ
22	NA	2019-11-04	NA	24.5	4.5	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	22	1	FZJ
22	NA	2019-11-07	NA	33	5	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	22	1	FZJ
22	NA	2019-11-11	NA	44.3	6	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	22	1	FZJ
23	NA	2019-10-28	NA	9.1	2.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	23	1	FZJ
23	NA	2019-10-31	NA	19.8	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	23	1	FZJ
23	NA	2019-11-04	NA	36.5	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	23	1	FZJ
23	NA	2019-11-07	NA	45	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	23	1	FZJ
23	NA	2019-11-11	NA	58.2	6.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	23	1	FZJ
24	NA	2019-10-28	NA	9.5	2.5	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	24	1	FZJ
24	NA	2019-10-31	NA	22	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	24	1	FZJ
24	NA	2019-11-04	NA	39.2	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	24	1	FZJ
24	NA	2019-11-07	NA	49.6	5	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	24	1	FZJ
24	NA	2019-11-11	NA	58.8	6.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	24	1	FZJ
25	NA	2019-10-28	NA	7.5	2.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	1	25	1	FZJ
25	NA	2019-10-31	NA	15.5	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	1	25	1	FZJ
25	NA	2019-11-04	NA	29.3	4	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	1	25	1	FZJ
25	NA	2019-11-07	NA	37	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	1	25	1	FZJ
25	NA	2019-11-11	NA	49.2	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	1	25	1	FZJ
26	NA	2019-10-28	NA	3	1	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	26	1	FZJ
26	NA	2019-10-31	NA	10	3	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	26	1	FZJ
26	NA	2019-11-04	NA	21.5	4	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	26	1	FZJ
26	NA	2019-11-07	NA	25	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	26	1	FZJ
