Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
46	NA	2019-11-11	NA	0.5693	7.85	0.0926	NA	NA	NA	NA	2658.46	NA	100	NA	NA	NA	NA	EPPN3_H	NA	4	10	2	FZJ
47	NA	2019-11-11	NA	0.7872	10.71	0.1194	NA	NA	NA	NA	3132.83	8	128	NA	NA	NA	NA	EPPN1_H	NA	4	11	2	FZJ
48	NA	2019-11-11	NA	0.2514	3.23	0.0549	NA	NA	NA	NA	657.8	17	12	NA	NA	NA	NA	EPPN3_L	NA	4	12	2	FZJ
49	NA	2019-11-11	NA	0.42	4.35	0.067	NA	NA	NA	NA	1581.55	9	NA	NA	NA	NA	NA	EPPN2_L	NA	4	13	2	FZJ
50	NA	2019-11-11	NA	0.2961	3.87	0.0353	NA	NA	NA	NA	674.97	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	4	14	2	FZJ
51	NA	2019-11-11	NA	0.2987	3.74	0.0686	NA	NA	NA	NA	1245.79	12	NA	NA	NA	NA	NA	EPPN4_L	NA	4	15	2	FZJ
52	NA	2019-11-11	NA	0.7414	9.86	0.1103	NA	NA	NA	NA	2083.32	11	NA	NA	NA	NA	NA	EPPN4_H	NA	4	16	2	FZJ
53	NA	2019-11-11	NA	0.4741	5.83	0.0574	NA	NA	NA	NA	1515.09	9	NA	NA	NA	NA	NA	EPPN2_H	NA	4	17	2	FZJ
54	NA	2019-11-11	NA	0.4501	6.02	0.0834	NA	NA	NA	NA	1485.94	10	NA	NA	NA	NA	NA	EPPN1_L	NA	4	18	2	FZJ
55	NA	2019-11-11	NA	0.6505	8.98	0.0673	NA	NA	NA	NA	1402.28	7	NA	NA	NA	NA	NA	EPPN3_H	NA	2	19	2	FZJ
56	NA	2019-11-11	NA	0.543	7.47	0.0986	NA	NA	NA	NA	1757.23	9	NA	NA	NA	NA	NA	EPPN1_L	NA	2	20	2	FZJ
57	NA	2019-11-11	NA	0.4784	6.82	0.0636	NA	NA	NA	NA	1573.25	9	NA	NA	NA	NA	NA	EPPN3_L	NA	2	21	2	FZJ
58	NA	2019-11-11	NA	0.6763	8.34	0.1034	NA	NA	NA	NA	3097.84	10	75	NA	NA	NA	NA	EPPN2_H	NA	2	22	2	FZJ
59	NA	2019-11-11	NA	0.4427	5.62	0.0991	NA	NA	NA	NA	1854.99	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	2	23	2	FZJ
60	NA	2019-11-11	NA	0.6713	8.88	0.0654	NA	NA	NA	NA	1339.51	11	NA	NA	NA	NA	NA	EPPN4_H	NA	2	24	2	FZJ
61	NA	2019-11-11	NA	0.3627	3.89	0.0511	NA	NA	NA	NA	1113.55	11	NA	NA	NA	NA	NA	EPPN2_L	NA	2	25	2	FZJ
62	NA	2019-11-11	NA	0.9335	13.44	0.1036	NA	NA	NA	NA	3332.19	9	75	NA	NA	NA	NA	EPPN1_H	NA	2	26	2	FZJ
63	NA	2019-11-11	NA	0.4395	NA	0.0582	NA	NA	NA	NA	1248.78	12	NA	NA	NA	NA	NA	EPPN20_T	NA	2	27	2	FZJ
64	NA	2019-11-11	NA	0.5379	6.7	0.0875	NA	NA	NA	NA	2148.57	9	116	NA	NA	NA	NA	EPPN2_H	NA	8	28	2	FZJ
65	NA	2019-11-11	NA	0.6765	8.87	0.0763	NA	NA	NA	NA	1251.88	11	91	NA	NA	NA	NA	EPPN4_H	NA	8	29	2	FZJ
66	NA	2019-11-11	NA	0.7485	10.61	0.1034	NA	NA	NA	NA	3170.54	9	110	NA	NA	NA	NA	EPPN1_H	NA	8	30	2	FZJ
67	NA	2019-11-11	NA	0.4364	6.71	0.1039	NA	NA	NA	NA	1981.03	NA	23	NA	NA	NA	NA	EPPN3_L	NA	8	31	2	FZJ
68	NA	2019-11-11	NA	0.3658	NA	0.047	NA	NA	NA	NA	1100.55	7	104	NA	NA	NA	NA	EPPN2_L	NA	8	32	2	FZJ
69	NA	2019-11-11	NA	0.4001	NA	0.1032	NA	NA	NA	NA	1478.29	11	120	NA	NA	NA	NA	EPPN4_L	NA	8	33	2	FZJ
70	NA	2019-11-11	NA	0.4657	6.44	0.0875	NA	NA	NA	NA	1843.13	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	8	34	2	FZJ
71	NA	2019-11-11	NA	0.3645	4.94	0.0515	NA	NA	NA	NA	1195.4	11	99	NA	NA	NA	NA	EPPN20_T	NA	8	35	2	FZJ
72	NA	2019-11-11	NA	0.5113	7.25	0.0766	NA	NA	NA	NA	1825.81	9	NA	NA	NA	NA	NA	EPPN3_H	NA	8	36	2	FZJ
