Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
61	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	222	NA	NA	NA	NA	NA	NA	NA	EPPN15_H	WD1	1	2	1	M3P
62	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	349	NA	NA	NA	NA	NA	NA	NA	EPPN14_H	WD1	1	2	2	M3P
63	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	367	NA	NA	NA	NA	NA	NA	NA	EPPN8_H	WD1	1	2	3	M3P
64	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	319	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	WD1	1	2	4	M3P
65	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	219	NA	NA	NA	NA	NA	NA	NA	EPPN13_H	WD1	1	2	5	M3P
66	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	316	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	WD1	1	2	6	M3P
67	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	211	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	WD1	1	2	7	M3P
68	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	331	NA	NA	NA	NA	NA	NA	NA	EPPN9_H	WD1	1	2	8	M3P
69	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	345	NA	NA	NA	NA	NA	NA	NA	EPPN6_H	WD1	1	2	9	M3P
70	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	342	NA	NA	NA	NA	NA	NA	NA	EPPN5_H	WD1	1	2	10	M3P
71	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	319	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	WD1	1	2	11	M3P
72	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	407	NA	NA	NA	NA	NA	NA	NA	EPPN10_H	WD1	1	2	12	M3P
73	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	192	NA	NA	NA	NA	NA	NA	NA	EPPN7_H	WD1	1	2	13	M3P
74	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	235	NA	NA	NA	NA	NA	NA	NA	EPPN11_H	WD1	1	2	14	M3P
75	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	228	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	WD1	1	2	15	M3P
76	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	121	NA	NA	NA	NA	NA	NA	NA	EPPN12_L	WW	2	2	16	M3P
77	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	222	NA	NA	NA	NA	NA	NA	NA	EPPN9_L	WW	2	2	17	M3P
78	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	107	NA	NA	NA	NA	NA	NA	NA	EPPN5_L	WW	2	2	18	M3P
79	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	181	NA	NA	NA	NA	NA	NA	NA	EPPN6_L	WW	2	2	19	M3P
80	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	225	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	WW	2	2	20	M3P
81	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	163	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	WW	2	2	21	M3P
82	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	107	NA	NA	NA	NA	NA	NA	NA	EPPN14_L	WW	2	2	22	M3P
83	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	127	NA	NA	NA	NA	NA	NA	NA	EPPN11_L	WW	2	2	23	M3P
