Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
83	11:32:26	2020-09-10	2020-09-10 11:32:26	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	3	13	17	ALSIA
64	11:33:04	2020-09-10	2020-09-10 11:33:04	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	4	14	17	ALSIA
44	11:34:20	2020-09-10	2020-09-10 11:34:20	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	4	16	17	ALSIA
74	11:34:57	2020-09-10	2020-09-10 11:34:57	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	4	17	17	ALSIA
24	11:35:35	2020-09-10	2020-09-10 11:35:35	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	4	18	17	ALSIA
34	11:36:14	2020-09-10	2020-09-10 11:36:14	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	4	19	17	ALSIA
4	11:36:51	2020-09-10	2020-09-10 11:36:51	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	4	20	17	ALSIA
54	11:38:07	2020-09-10	2020-09-10 11:38:07	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	4	22	17	ALSIA
84	11:39:21	2020-09-10	2020-09-10 11:39:21	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	4	24	17	ALSIA
14	11:40:00	2020-09-10	2020-09-10 11:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	4	25	17	ALSIA
61	12:10:26	2020-09-10	2020-09-10 12:10:26	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	1	18	ALSIA
21	12:10:42	2020-09-10	2020-09-10 12:10:42	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	2	18	ALSIA
71	12:10:57	2020-09-10	2020-09-10 12:10:57	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	3	18	ALSIA
11	12:12:12	2020-09-10	2020-09-10 12:12:12	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	5	18	ALSIA
1	12:12:49	2020-09-10	2020-09-10 12:12:49	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	6	18	ALSIA
31	12:14:44	2020-09-10	2020-09-10 12:14:44	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	9	18	ALSIA
51	12:15:20	2020-09-10	2020-09-10 12:15:20	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	10	18	ALSIA
41	12:16:00	2020-09-10	2020-09-10 12:16:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	11	18	ALSIA
81	12:16:38	2020-09-10	2020-09-10 12:16:38	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	1	12	18	ALSIA
62	12:17:15	2020-09-10	2020-09-10 12:17:15	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	2	13	18	ALSIA
32	12:17:53	2020-09-10	2020-09-10 12:17:53	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	2	14	18	ALSIA
2	12:18:35	2020-09-10	2020-09-10 12:18:35	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	2	15	18	ALSIA
22	12:20:29	2020-09-10	2020-09-10 12:20:29	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	2	18	18	ALSIA
82	12:21:10	2020-09-10	2020-09-10 12:21:10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	2	19	18	ALSIA
52	12:21:49	2020-09-10	2020-09-10 12:21:49	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	2	20	18	ALSIA
72	12:23:04	2020-09-10	2020-09-10 12:23:04	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	2	22	18	ALSIA
12	12:23:47	2020-09-10	2020-09-10 12:23:47	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	2	23	18	ALSIA
42	12:25:44	2020-09-10	2020-09-10 12:25:44	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	2	26	18	ALSIA
69	09:11:06	2020-09-14	2020-09-14 09:11:06	NA	NA	-46.9657142368627	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	9	1	14	ALSIA
59	09:11:22	2020-09-14	2020-09-14 09:11:22	NA	NA	-30.4378241285683	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	9	2	14	ALSIA
29	09:12:53	2020-09-14	2020-09-14 09:12:53	NA	NA	-32.709776430218	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	9	5	14	ALSIA
39	09:13:31	2020-09-14	2020-09-14 09:13:31	NA	NA	-26.5301202741308	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	9	6	14	ALSIA
79	09:14:09	2020-09-14	2020-09-14 09:14:09	NA	NA	-40.9737430674512	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	9	7	14	ALSIA
49	09:14:47	2020-09-14	2020-09-14 09:14:47	NA	NA	-44.0673089358628	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	9	8	14	ALSIA
89	09:15:25	2020-09-14	2020-09-14 09:15:25	NA	NA	-11.6719026849751	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	9	9	14	ALSIA
19	09:16:04	2020-09-14	2020-09-14 09:16:04	NA	NA	-22.7114970542828	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	9	10	14	ALSIA
