timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	irrigation	water_consumed
2020-09-10 12:16:00	2020-09-10	DIC09D11E01	EPPN1_H	Hybrid	18	11	1	c11r18	135	NA
2020-09-10 12:16:38	2020-09-10	DIC09D11I01	EPPN20_T	Line	18	12	1	c12r18	175	NA
2020-09-10 12:17:15	2020-09-10	DIC09D11G02	EPPN3_H	Hybrid	18	13	2	c13r18	120	NA
2020-09-10 12:17:53	2020-09-10	DIC09D11D02	EPPN4_L	Line	18	14	2	c14r18	210	NA
2020-09-10 12:18:35	2020-09-10	DIC09D11A02	EPPN1_L	Line	18	15	2	c15r18	175	NA
2020-09-10 12:20:29	2020-09-10	DIC09D11C02	EPPN3_L	Line	18	18	2	c18r18	235	NA
2020-09-10 12:21:10	2020-09-10	DIC09D11I02	EPPN20_T	Line	18	19	2	c19r18	215	NA
2020-09-10 12:21:49	2020-09-10	DIC09D11F02	EPPN2_H	Hybrid	18	20	2	c20r18	160	NA
2020-09-10 12:23:04	2020-09-10	DIC09D11H02	EPPN4_H	Hybrid	18	22	2	c22r18	110	NA
2020-09-10 12:23:47	2020-09-10	DIC09D11B02	EPPN2_L	Line	18	23	2	c23r18	150	NA
2020-09-10 12:25:44	2020-09-10	DIC09D11E02	EPPN1_H	Hybrid	18	26	2	c26r18	145	NA
2020-09-11 09:06:46	2020-09-11	DIC09D11G09	EPPN3_H	Hybrid	14	1	9	c1r14	90	-55
2020-09-11 09:07:02	2020-09-11	DIC09D11F09	EPPN2_H	Hybrid	14	2	9	c2r14	90	-40
2020-09-11 09:08:13	2020-09-11	DIC09D11C09	EPPN3_L	Line	14	5	9	c5r14	95	-55
2020-09-11 09:08:36	2020-09-11	DIC09D11D09	EPPN4_L	Line	14	6	9	c6r14	90	-60
2020-09-11 09:08:58	2020-09-11	DIC09D11H09	EPPN4_H	Hybrid	14	7	9	c7r14	155	-50
2020-09-11 09:09:12	2020-09-11	DIC09D11E09	EPPN1_H	Hybrid	14	8	9	c8r14	80	-50
2020-09-11 09:09:25	2020-09-11	DIC09D11I09	EPPN20_T	Line	14	9	9	c9r14	130	-55
2020-09-11 09:09:47	2020-09-11	DIC09D11B09	EPPN2_L	Line	14	10	9	c10r14	125	-55
2020-09-11 09:11:14	2020-09-11	DIC09D11A09	EPPN1_L	Line	14	13	9	c13r14	100	80
2020-09-11 09:11:37	2020-09-11	DIC09D11E10	EPPN1_H	Hybrid	14	14	10	c14r14	95	75
2020-09-11 09:12:01	2020-09-11	DIC09D11C10	EPPN3_L	Line	14	15	10	c15r14	100	80
2020-09-11 09:12:14	2020-09-11	DIC09D11B10	EPPN2_L	Line	14	16	10	c16r14	80	65
2020-09-11 09:12:27	2020-09-11	DIC09D11D10	EPPN4_L	Line	14	17	10	c17r14	85	65
