timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	solidity.S.000	solidity.S.090	solidity.T.000	areaRaw.S.000	areaRaw.S.090	areaRaw.T.000	convex_hull_areaRaw.S.000	convex_hull_areaRaw.S.090	convex_hull_areaRaw.T.000	height_above_referenceRaw.S.000	height_above_referenceRaw.S.090
2020-09-10 10:53:34	2020-09-10	DIC09D11E06	EPPN1_H	Hybrid	16	24	6	c24r16	0.18254382303839733	0.455199330917201	0.487171381908224	10497	8164	9247	57504	17935	18981	369	378
2020-09-10 10:54:54	2020-09-10	DIC09D11C06	EPPN3_L	Line	16	26	6	c26r16	0.3385888980489145	0.5997639963288318	0.7548847864169249	9857	11436	5602	29112	19067.5	7421	292	303
2020-09-10 11:25:28	2020-09-10	DIC09D11H03	EPPN4_H	Hybrid	17	1	3	c1r17	0.17513996065970647	0.4492410527781646	0.4614464692482916	4630	6452	8103	26436	14362	17560	184	203
2020-09-10 11:25:45	2020-09-10	DIC09D11B03	EPPN2_L	Line	17	2	3	c2r17	0.19504998808456553	0.35115449049457353	0.6832748630217983	8594	9642	8667	44060.5	27458	12684.5	303	301
2020-09-10 11:25:59	2020-09-10	DIC09D11D03	EPPN4_L	Line	17	3	3	c3r17	0.1515471888659208	0.4827794359301117	0.40153483910351445	9604	7198	11511	63373	14909.5	28667.5	305	280
2020-09-10 11:27:14	2020-09-10	DIC09D11A03	EPPN1_L	Line	17	5	3	c5r17	0.19843801879574424	0.48290098103892243	0.3885840913558625	13746	11346	10872	69271	23495.5	27978.5	405	424
2020-09-10 11:27:53	2020-09-10	DIC09D11F03	EPPN2_H	Hybrid	17	6	3	c6r17	0.14476155508169403	0.33925219763155406	0.6233574205241945	10251	12562	13069	70813	37028.5	20965.5	323	334
2020-09-10 11:28:31	2020-09-10	DIC09D11G03	EPPN3_H	Hybrid	17	7	3	c7r17	0.1176659230340212	0.4890445911465716	0.6671841143559394	8439	12075	10315	71720	24691	15460.5	401	416
2020-09-10 11:30:32	2020-09-10	DIC09D11E03	EPPN1_H	Hybrid	17	10	3	c10r17	0.17072206853723254	0.3997366350307527	0.4585438744814298	10584	12446	11661	61995.5	31135.5	25430.5	386	367
2020-09-10 11:31:11	2020-09-10	DIC09D11C03	EPPN3_L	Line	17	11	3	c11r17	0.3931162515233312	0.1925086139824386	0.24340802298939848	17258	11258	12536	43900.5	58480.5	51502	417	413
2020-09-10 11:32:26	2020-09-10	DIC09D11I03	EPPN20_T	Line	17	13	3	c13r17	0.19120829062749117	0.38295301644836205	0.6970493718959977	6716	6973	7158	35124	18208.5	10269	251	271
2020-09-10 11:33:04	2020-09-10	DIC09D11G04	EPPN3_H	Hybrid	17	14	4	c14r17	0.15195022288261514	0.6047738771456064	0.4710885263439422	8181	9742	8807	53840	16108.5	18695	336	345
2020-09-10 11:34:20	2020-09-10	DIC09D11E04	EPPN1_H	Hybrid	17	16	4	c16r17	0.2435979542317996	0.4240278561285428	0.4808845434060268	13503	10899	12591	55431.5	25703.5	26183	320	332
