timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	fresh_weight	manual_plant_height
2020-10-03 12:00:00	2020-10-03	DIC09D11G08	EPPN3_H	Hybrid	15	26	8	c26r15	117.8	121
2020-10-03 12:00:00	2020-10-03	DIC09D11G09	EPPN3_H	Hybrid	14	1	9	c1r14	161.1	156
2020-10-03 12:00:00	2020-10-03	DIC09D11G10	EPPN3_H	Hybrid	14	19	10	c19r14	104.3	131
2020-10-03 12:00:00	2020-10-03	DIC09D11H01	EPPN4_H	Hybrid	18	3	1	c3r18	85.2	114
2020-10-03 12:00:00	2020-10-03	DIC09D11H02	EPPN4_H	Hybrid	18	22	2	c22r18	44.3	105
2020-10-03 12:00:00	2020-10-03	DIC09D11H03	EPPN4_H	Hybrid	17	1	3	c1r17	73.3	117
2020-10-03 12:00:00	2020-10-03	DIC09D11H04	EPPN4_H	Hybrid	17	17	4	c17r17	45.5	98
2020-10-03 12:00:00	2020-10-03	DIC09D11H05	EPPN4_H	Hybrid	16	4	5	c4r16	109	143
2020-10-03 12:00:00	2020-10-03	DIC09D11H06	EPPN4_H	Hybrid	16	17	6	c17r16	102.4	115
2020-10-03 12:00:00	2020-10-03	DIC09D11H07	EPPN4_H	Hybrid	15	4	7	c4r15	77	105
2020-10-03 12:00:00	2020-10-03	DIC09D11H08	EPPN4_H	Hybrid	15	25	8	c25r15	118.6	143
2020-10-03 12:00:00	2020-10-03	DIC09D11H09	EPPN4_H	Hybrid	14	7	9	c7r14	19.9	87
2020-10-03 12:00:00	2020-10-03	DIC09D11H10	EPPN4_H	Hybrid	14	23	10	c23r14	92.9	117
2020-10-03 12:00:00	2020-10-03	DIC09D11I01	EPPN20_T	Line	18	12	1	c12r18	101.1	125
2020-10-03 12:00:00	2020-10-03	DIC09D11I02	EPPN20_T	Line	18	19	2	c19r18	31.9	87
2020-10-03 12:00:00	2020-10-03	DIC09D11I03	EPPN20_T	Line	17	13	3	c13r17	120.7	142
2020-10-03 12:00:00	2020-10-03	DIC09D11I04	EPPN20_T	Line	17	24	4	c24r17	40.6	86
2020-10-03 12:00:00	2020-10-03	DIC09D11I05	EPPN20_T	Line	16	10	5	c10r16	26.4	80
2020-10-03 12:00:00	2020-10-03	DIC09D11I06	EPPN20_T	Line	16	13	6	c13r16	105.8	132
2020-10-03 12:00:00	2020-10-03	DIC09D11I07	EPPN20_T	Line	15	7	7	c7r15	129.8	141
2020-10-03 12:00:00	2020-10-03	DIC09D11I08	EPPN20_T	Line	15	18	8	c18r15	33.8	85
2020-10-03 12:00:00	2020-10-03	DIC09D11I09	EPPN20_T	Line	14	9	9	c9r14	135.4	139
2020-10-03 12:00:00	2020-10-03	DIC09D11I10	EPPN20_T	Line	14	24	10	c24r14	81.6	111
