Date and Time,Type:,Fixture ID:,Measurement:
28/06/2021 14.56.55,Height (mm)                   ,67,"605,00"
28/06/2021 14.55.38,Height (mm)                   ,58,"607,00"
28/06/2021 14.54.21,Height (mm)                   ,49,"605,00"
28/06/2021 14.53.04,Height (mm)                   ,40,"605,00"
28/06/2021 14.51.50,Height (mm)                   ,31,"604,00"
28/06/2021 14.50.32,Height (mm)                   ,22,"443,00"
28/06/2021 14.48.12,Height (mm)                   ,13,"581,00"
28/06/2021 14.46.42,Height (mm)                   ,4,"342,00"
28/06/2021 14.43.51,Height (mm)                   ,113,"474,00"
28/06/2021 14.42.03,Height (mm)                   ,104,"512,00"
28/06/2021 14.40.20,Height (mm)                   ,95,"606,00"
28/06/2021 14.38.42,Height (mm)                   ,86,"376,00"
28/06/2021 14.37.12,Height (mm)                   ,77,"604,00"
28/06/2021 14.35.46,Height (mm)                   ,68,"499,00"
28/06/2021 14.34.29,Height (mm)                   ,59,"497,00"
28/06/2021 14.33.12,Height (mm)                   ,50,"603,00"
28/06/2021 14.31.56,Height (mm)                   ,41,"603,00"
28/06/2021 14.30.40,Height (mm)                   ,32,"607,00"
28/06/2021 14.29.23,Height (mm)                   ,23,"389,00"
28/06/2021 14.27.04,Height (mm)                   ,14,"605,00"
28/06/2021 14.25.36,Height (mm)                   ,5,"590,00"
28/06/2021 14.22.42,Height (mm)                   ,114,"403,00"
28/06/2021 14.20.53,Height (mm)                   ,105,"605,00"
28/06/2021 14.19.11,Height (mm)                   ,96,"604,00"
28/06/2021 14.17.34,Height (mm)                   ,87,"605,00"
28/06/2021 14.16.03,Height (mm)                   ,78,"604,00"
28/06/2021 14.14.38,Height (mm)                   ,69,"510,00"
28/06/2021 14.13.22,Height (mm)                   ,60,"600,00"
28/06/2021 14.12.05,Height (mm)                   ,51,"40,00"
28/06/2021 14.10.48,Height (mm)                   ,42,"533,00"
28/06/2021 14.09.32,Height (mm)                   ,33,"607,00"
28/06/2021 14.08.15,Height (mm)                   ,24,"510,00"
28/06/2021 14.05.57,Height (mm)                   ,15,"386,00"
28/06/2021 14.04.29,Height (mm)                   ,6,"496,00"
28/06/2021 14.01.35,Height (mm)                   ,115,"525,00"
28/06/2021 13.59.47,Height (mm)                   ,106,"585,00"
28/06/2021 13.58.03,Height (mm)                   ,97,"541,00"
28/06/2021 13.56.25,Height (mm)                   ,88,"606,00"
28/06/2021 13.54.55,Height (mm)                   ,79,"490,00"
28/06/2021 13.53.30,Height (mm)                   ,70,"476,00"
28/06/2021 13.52.13,Height (mm)                   ,61,"604,00"
28/06/2021 13.50.57,Height (mm)                   ,52,"556,00"
28/06/2021 13.49.41,Height (mm)                   ,43,"604,00"
28/06/2021 13.48.24,Height (mm)                   ,34,"606,00"
28/06/2021 13.47.07,Height (mm)                   ,25,"605,00"
28/06/2021 13.44.48,Height (mm)                   ,16,"522,00"
28/06/2021 13.43.20,Height (mm)                   ,7,"546,00"
28/06/2021 13.40.25,Height (mm)                   ,116,"541,00"
28/06/2021 13.38.37,Height (mm)                   ,107,"604,00"
28/06/2021 13.36.54,Height (mm)                   ,98,"592,00"
28/06/2021 13.35.18,Height (mm)                   ,89,"489,00"
28/06/2021 13.33.48,Height (mm)                   ,80,"606,00"
28/06/2021 13.32.22,Height (mm)                   ,71,"574,00"
28/06/2021 13.31.07,Height (mm)                   ,62,"600,00"
28/06/2021 13.29.48,Height (mm)                   ,53,"452,00"
28/06/2021 13.28.32,Height (mm)                   ,44,"418,00"
28/06/2021 13.27.16,Height (mm)                   ,35,"483,00"
28/06/2021 13.26.01,Height (mm)                   ,26,"602,00"
28/06/2021 13.23.42,Height (mm)                   ,17,"603,00"
28/06/2021 13.22.13,Height (mm)                   ,8,"606,00"
28/06/2021 13.19.19,Height (mm)                   ,117,"515,00"
28/06/2021 13.17.32,Height (mm)                   ,108,"600,00"
28/06/2021 13.15.47,Height (mm)                   ,99,"604,00"
28/06/2021 13.14.11,Height (mm)                   ,90,"604,00"
28/06/2021 13.12.39,Height (mm)                   ,81,"503,00"
28/06/2021 13.11.15,Height (mm)                   ,72,"361,00"
28/06/2021 13.09.58,Height (mm)                   ,63,"606,00"
28/06/2021 13.08.41,Height (mm)                   ,54,"601,00"
28/06/2021 13.07.23,Height (mm)                   ,45,"471,00"
28/06/2021 13.06.08,Height (mm)                   ,36,"607,00"
28/06/2021 13.04.51,Height (mm)                   ,27,"603,00"
28/06/2021 13.03.46,Height (mm)                   ,18,"605,00"
28/06/2021 13.02.55,Height (mm)                   ,9,"487,00"
28/06/2021 12.20.32,Height (mm)                   ,109,"599,00"
28/06/2021 12.18.44,Height (mm)                   ,100,"606,00"
28/06/2021 12.17.01,Height (mm)                   ,91,"566,00"
28/06/2021 12.15.21,Height (mm)                   ,82,"475,00"
28/06/2021 12.13.51,Height (mm)                   ,73,"605,00"
28/06/2021 12.12.27,Height (mm)                   ,64,"470,00"
28/06/2021 12.11.26,Height (mm)                   ,55,"606,00"
28/06/2021 12.09.59,Height (mm)                   ,46,"604,00"
28/06/2021 12.08.38,Height (mm)                   ,37,"372,00"
28/06/2021 12.07.27,Height (mm)                   ,28,"605,00"
28/06/2021 12.06.04,Height (mm)                   ,19,"602,00"
28/06/2021 12.03.48,Height (mm)                   ,10,"605,00"
28/06/2021 12.02.31,Height (mm)                   ,1,"496,00"
28/06/2021 11.59.22,Height (mm)                   ,110,"392,00"
28/06/2021 11.57.37,Height (mm)                   ,101,"606,00"
28/06/2021 11.55.52,Height (mm)                   ,92,"591,00"
28/06/2021 11.54.15,Height (mm)                   ,83,"568,00"
