Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[growth substrate effect]
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_37,plant,,,S2
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_38,plant,,,S2
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_39,plant,,,S2
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_40,plant,,,S2
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_41,plant,,,S2
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_42,plant,,,S2
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_43,plant,,,S2
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_44,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_45,plant,,,S2
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_46,plant,,,S1
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_47,plant,,,S1
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_48,plant,,,S1
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_49,plant,,,S1
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_50,plant,,,S1
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_51,plant,,,S1
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_52,plant,,,S1
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_53,plant,,,S1
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_54,plant,,,S1
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_55,plant,,,S1
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_56,plant,,,S1
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_57,plant,,,S1
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_58,plant,,,S1
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_59,plant,,,S1
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_60,plant,,,S1
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_61,plant,,,S1
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_62,plant,,,S1
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_63,plant,,,S1
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_64,plant,,,S2
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_65,plant,,,S2
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_66,plant,,,S2
