date	sample_Name	trait	Scale_name	raw_value	OutLier	Corrected_Value
2019-11-29	PLAT015_U4L7R22_352_RT_5169_1pl_Calib_22T_Prel02	Seed_fresh_biomass	g	0.2278	NA	NA
2019-12-03	PLAT015_U4L7R7_337_RT_6162_1pl_Calib_21T_Prel03	Seed_fresh_biomass	g	0.1852	NA	NA
2019-12-03	PLAT015_U4L7R8_338_RT_5362_1pl_Calib_21T_Prel03	Seed_fresh_biomass	g	0.1707	NA	NA
2019-12-03	PLAT015_U4L7R9_339_RT_5784_1pl_Calib_21T_Prel03	Seed_fresh_biomass	g	0.3434	NA	NA
2019-12-03	PLAT015_U4L7R16_346_RT_5298_1pl_Calib_22T_Prel03	Seed_fresh_biomass	g	0.1664	NA	NA
2019-12-03	PLAT015_U4L7R17_347_RT_5939_1pl_Calib_22T_Prel03	Seed_fresh_biomass	g	0.136	NA	NA
2019-12-03	PLAT015_U4L7R18_348_RT_5603_1pl_Calib_22T_Prel03	Seed_fresh_biomass	g	0.2775	NA	NA
2019-12-03	PLAT015_U4L7R23_353_RT_5791_1pl_Calib_21T_Prel03	Seed_fresh_biomass	g	0.2073	NA	NA
2019-12-03	PLAT015_U4L7R24_354_RT_5559_1pl_Calib_22T_Prel03	Seed_fresh_biomass	g	0.2207	NA	NA
2019-11-25	PLAT015_U4L7R1_331_RT_5436_1pl_Calib_21T_Prel01	Leaf-area	cm�	4.55	NA	NA
2019-11-25	PLAT015_U4L7R2_332_RT_6164_1pl_Calib_21T_Prel01	Leaf-area	cm�	1.99	NA	NA
2019-11-25	PLAT015_U4L7R3_333_RT_5112_1pl_Calib_21T_Prel01	Leaf-area	cm�	3.906	NA	NA
2019-11-25	PLAT015_U4L7R10_340_RT_5455_1pl_Calib_22T_Prel01	Leaf-area	cm�	10.414	NA	NA
2019-11-25	PLAT015_U4L7R11_341_RT_5328_1pl_Calib_22T_Prel01	Leaf-area	cm�	5.407	NA	NA
2019-11-25	PLAT015_U4L7R12_342_RT_6146_1pl_Calib_22T_Prel01	Leaf-area	cm�	6.98	NA	NA
2019-11-25	PLAT015_U4L7R19_349_RT_5936_1pl_Calib_21T_Prel01	Leaf-area	cm�	4.698	NA	NA
2019-11-25	PLAT015_U4L7R20_350_RT_6086_1pl_Calib_22T_Prel01	Leaf-area	cm�	3.906	NA	NA
2019-11-29	PLAT015_U4L7R4_334_RT_5794_1pl_Calib_21T_Prel02	Leaf-area	cm�	13.626	NA	NA
2019-11-29	PLAT015_U4L7R5_335_RT_5070_1pl_Calib_21T_Prel02	Leaf-area	cm�	12.78	NA	NA
2019-11-29	PLAT015_U4L7R6_336_RT_5007_1pl_Calib_21T_Prel02	Leaf-area	cm�	16.719	NA	NA
2019-11-29	PLAT015_U4L7R13_343_RT_5291_1pl_Calib_22T_Prel02	Leaf-area	cm�	16.64	NA	NA
2019-11-29	PLAT015_U4L7R14_344_RT_5696_1pl_Calib_22T_Prel02	Leaf-area	cm�	24.767	NA	NA
2019-11-29	PLAT015_U4L7R15_345_RT_5963_1pl_Calib_22T_Prel02	Leaf-area	cm�	18.027	NA	NA
2019-11-29	PLAT015_U4L7R21_351_RT_5074_1pl_Calib_21T_Prel02	Leaf-area	cm�	21.974	NA	NA
2019-11-29	PLAT015_U4L7R22_352_RT_5169_1pl_Calib_22T_Prel02	Leaf-area	cm�	18.125	NA	NA
2019-12-03	PLAT015_U4L7R7_337_RT_6162_1pl_Calib_21T_Prel03	Leaf-area	cm�	36.427	NA	NA
2019-12-03	PLAT015_U4L7R8_338_RT_5362_1pl_Calib_21T_Prel03	Leaf-area	cm�	41.348	NA	NA
2019-12-03	PLAT015_U4L7R9_339_RT_5784_1pl_Calib_21T_Prel03	Leaf-area	cm�	47.608	NA	NA
2019-12-03	PLAT015_U4L7R16_346_RT_5298_1pl_Calib_22T_Prel03	Leaf-area	cm�	47.5	NA	NA
2019-12-03	PLAT015_U4L7R17_347_RT_5939_1pl_Calib_22T_Prel03	Leaf-area	cm�	50.01	NA	NA
2019-12-03	PLAT015_U4L7R18_348_RT_5603_1pl_Calib_22T_Prel03	Leaf-area	cm�	62.118	NA	NA
2019-12-03	PLAT015_U4L7R23_353_RT_5791_1pl_Calib_21T_Prel03	Leaf-area	cm�	34.397	NA	NA
2019-12-03	PLAT015_U4L7R24_354_RT_5559_1pl_Calib_22T_Prel03	Leaf-area	cm�	60.101	NA	NA
