Unit ID	Timestamp	Root_length_density_S1	Root_length_density_S2	Root_length_density_S3	Root_length_density_S4	Root_length_density_S5	Root_length_density_S6	Root_length_density_S7	Root_length_density_S8	Root_length_density_S9	Root_length_density_S10	Root_length_density_S11	Root_length_density_S12	Root_length_density_S13	Root_length_density_S14	Root_length_density_S15	Root_length_density_S16	Root_length_density_S17	Root_length_density_S18	Root_length_density_S19	Root_length_density_S20	
404	2019_11_11	0.314	0.271	0.232	0.152	0.224	0.169	0.158	0.117	0.082	0.054	0.046	0.040	0.030	0.022	0.000	0.000	0.000	0.000	0.000	0.000	
405	2019_11_11	0.185	0.142	0.089	0.097	0.082	0.056	0.061	0.064	0.094	0.087	0.082	0.058	0.036	0.017	0.016	0.015	0.013	0.000	0.000	0.000	
406	2019_11_11	0.291	0.354	0.305	0.228	0.151	0.058	0.067	0.026	0.021	0.021	0.012	0.016	0.027	0.047	0.010	0.016	0.017	0.016	0.017	0.015	
407	2019_11_11	0.313	0.272	0.184	0.108	0.089	0.037	0.027	0.018	0.009	0.017	0.016	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
408	2019_11_11	0.301	0.406	0.406	0.281	0.243	0.206	0.204	0.107	0.082	0.075	0.073	0.052	0.064	0.039	0.026	0.012	0.012	0.015	0.013	0.019	
409	2019_11_11	0.166	0.112	0.087	0.053	0.060	0.072	0.062	0.079	0.059	0.028	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
410	2019_11_11	0.287	0.157	0.085	0.065	0.083	0.085	0.051	0.042	0.033	0.021	0.017	0.017	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
411	2019_11_11	0.295	0.229	0.272	0.165	0.098	0.069	0.074	0.045	0.041	0.060	0.057	0.053	0.031	0.030	0.028	0.017	0.015	0.016	0.018	0.018	
412	2019_11_11	0.194	0.318	0.167	0.100	0.109	0.106	0.109	0.063	0.019	0.074	0.055	0.050	0.033	0.047	0.042	0.027	0.016	0.017	0.018	0.016	
413	2019_11_11	0.237	0.272	0.224	0.158	0.153	0.180	0.111	0.100	0.076	0.067	0.034	0.023	0.020	0.003	0.000	0.000	0.000	0.000	0.000	0.000	
414	2019_11_11	0.275	0.194	0.129	0.073	0.039	0.037	0.037	0.011	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
415	2019_11_11	0.192	0.229	0.155	0.118	0.121	0.068	0.054	0.079	0.074	0.074	0.051	0.014	0.013	0.014	0.014	0.017	0.000	0.000	0.000	0.000	
416	2019_11_11	0.308	0.250	0.118	0.146	0.139	0.103	0.091	0.073	0.057	0.028	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
417	2019_11_11	0.215	0.275	0.178	0.122	0.106	0.081	0.081	0.067	0.051	0.020	0.016	0.016	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
418	2019_11_11	0.283	0.281	0.147	0.090	0.123	0.074	0.083	0.058	0.059	0.039	0.034	0.024	0.016	0.016	0.015	0.015	0.000	0.000	0.000	0.000	
