SessionName:,2021-06 TNA - Mspec v1.0 0001
SessionRecipe:,2021-06 TNA - Mspec v1.0
Date:,17-09-2021
Time:,18:34:34
Processing Algorithm:,VM.Lab.Session.StaticsKeyValues
Processing Algorithm:,VM.Lab.Session.StaticsKeyValues
,NoImageBands,BlobSizeMin,BlobSizeMax,HistMinimum,HistMaximum,HistogramImageBand,HistogramNumBins,Scale,NumKeyValues,MultiCapture,MultiCaptureIndex,
,15,0,10000,0,0,1,100,5,30,1,-1,
,
Index,Sample ID,Comment,Initials,Status,TimeStamp,ImageFileName,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,
21,Giant__PlantId_100_2021-06-21 18.32.16.965,,,,2021-06-21_18.31.22.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-21 18.32.16.965.hips,3.083415,2.278088,3.81724,3.867497,2.400188,1.852782,2.672546,16.79655,17.07236,16.07427,8.173989,8.285265,8.224031,8.480466,12.62022,0.9324735,0.8306342,1.194278,1.222875,0.8909999,0.7448424,0.9215587,4.604924,4.68511,4.537939,0.4925265,0.4943765,0.4553145,0.4375874,1.355404,
22,Giant__PlantId_100_2021-06-22 12.35.59.611,,,,2021-06-22_12.35.05.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-22 12.35.59.611.hips,3.113373,2.278572,3.774029,3.659683,2.417511,1.800569,2.631687,16.31703,16.48714,15.47971,8.249578,8.35624,8.290444,8.572063,12.95979,1.104492,0.9692564,1.271235,1.259279,0.905101,0.7498503,0.9268093,4.614734,4.602648,4.469851,1.139373,1.263714,1.020028,0.985499,1.858495,
23,Giant__PlantId_100_2021-06-23 18.35.18.197,,,,2021-06-23_18.34.23.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-23 18.35.18.197.hips,2.798773,1.843069,3.217907,3.266848,1.895848,1.429229,2.171402,15.46565,15.68873,14.77117,8.1397,8.225353,8.185594,8.470419,12.81926,1.040251,0.7749404,1.11648,1.150975,0.7695811,0.6305875,0.8152963,4.746662,4.702875,4.528284,0.9947239,1.05092,0.9232155,0.834157,1.89078,
24,Giant__PlantId_100_2021-06-24 12.30.55.626,,,,2021-06-24_12.29.58.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-24 12.30.55.626.hips,2.875033,1.966181,3.358398,3.273807,2.131294,1.600095,2.35447,15.42769,15.51321,14.47472,8.188274,8.276664,8.226743,8.553066,13.13347,0.9195387,0.7736293,1.010713,0.9845142,0.7764056,0.6636195,0.7773033,3.852532,3.823693,3.646973,1.047484,1.146261,0.9257488,0.9007327,1.839427,
25,Giant__PlantId_101_2021-06-14 20.08.32.558,,,,2021-06-14_20.07.35.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-14 20.08.32.558.hips,2.868792,2.212847,4.201494,4.307723,2.404589,1.751759,2.778487,17.89249,17.98371,16.76493,7.931129,8.098363,7.947211,8.278113,11.22941,0.711557,0.655223,1.043229,1.06834,0.6770796,0.5500634,0.7283997,4.986226,5.057503,4.886593,0.6483905,0.6200228,0.5838054,0.4807222,1.240709,
26,Giant__PlantId_101_2021-06-15 11.48.37.375,,,,2021-06-15_11.47.40.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-15 11.48.37.375.hips,3.763206,3.101801,5.522911,5.431409,3.496758,2.583607,3.851806,22.16278,22.04304,20.54515,8.078592,8.258902,8.105362,8.472448,12.47487,1.058509,1.046615,1.462005,1.418068,1.007706,0.8588505,1.077665,6.644711,6.777213,6.470312,0.6874265,0.7105229,0.6739334,0.5687191,1.803202,
27,Giant__PlantId_101_2021-06-16 17.54.30.906,,,,2021-06-16_17.53.35.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-16 17.54.30.906.hips,2.766445,2.118431,3.902316,3.779149,2.403737,1.70789,2.649753,15.59785,15.424,14.39653,8.091259,8.232234,8.107802,8.428174,11.7238,0.6966847,0.5707125,1.015426,1.011625,0.678724,0.5135282,0.7081239,3.402029,3.294078,3.138722,0.7675275,0.7474161,0.6257964,0.5336106,1.345345,
28,Giant__PlantId_101_2021-06-17 11.52.53.549,,,,2021-06-17_11.51.56.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-17 11.52.53.549.hips,2.837603,2.076216,4.017984,3.959174,2.392759,1.683182,2.690503,15.91671,15.89372,14.84251,7.96276,8.113621,7.993822,8.359595,11.70944,0.8356335,0.6603366,1.314082,1.30873,0.802959,0.606351,0.8809478,4.700916,4.842048,4.627599,0.7388654,0.7104164,0.6190929,0.5185612,1.469437,
29,Giant__PlantId_101_2021-06-21 17.54.47.863,,,,2021-06-21_17.53.53.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-21 17.54.47.863.hips,3.400826,2.095039,4.093402,4.150041,2.270288,1.630713,2.677664,18.12335,18.33423,17.12813,7.965495,8.089611,8.022146,8.416985,13.51757,1.246255,0.9605275,1.458591,1.466273,0.9674791,0.7679698,1.029531,5.597128,5.754827,5.481943,0.8298368,0.8629041,0.5188034,0.4724519,2.082176,
30,Giant__PlantId_101_2021-06-22 11.58.36.452,,,,2021-06-22_11.57.41.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-22 11.58.36.452.hips,2.99664,2.021969,3.718789,3.599154,2.231057,1.595829,2.492162,15.97082,16.05427,14.93714,7.841795,7.964341,7.883277,8.365092,12.67521,1.039273,0.8986673,1.303352,1.26832,0.9772243,0.7975307,0.9727066,4.604312,4.679224,4.462812,0.8781641,0.8487496,0.729379,0.5633382,1.701705,
31,Giant__PlantId_101_2021-06-23 17.58.01.761,,,,2021-06-23_17.57.06.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-23 17.58.01.761.hips,2.557016,1.496601,3.049339,3.136563,1.681645,1.227588,2.055837,16.02372,16.31376,15.2362,7.805056,7.920451,7.865568,8.326741,13.00592,0.9271771,0.8323339,1.13781,1.135439,0.8854731,0.756461,0.8915141,4.84006,5.121974,4.887599,0.6224072,0.5984576,0.5737246,0.4532784,1.541599,
32,Giant__PlantId_101_2021-06-24 11.53.37.927,,,,2021-06-24_11.52.42.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_101_2021-06-24 11.53.37.927.hips,2.494021,1.620836,3.000195,2.967799,1.908787,1.417792,2.153878,14.86046,14.88653,13.95694,8.147597,8.23398,8.164531,8.436462,12.33197,0.9330291,0.8957134,1.11554,1.077505,0.9727643,0.8287333,0.9308311,4.244824,4.325967,4.117449,0.9223999,0.9342195,0.5771655,0.5162914,1.237929,
33,Giant__PlantId_102_2021-06-14 19.32.09.725,,,,2021-06-14_19.31.12.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-14 19.32.09.725.hips,3.553294,2.770866,5.417098,5.597844,3.213213,2.335906,3.61951,20.53284,20.41523,19.1017,8.180323,8.353557,8.216655,8.508336,12.31581,0.800791,0.7548679,1.320562,1.346603,0.8723783,0.7080128,0.9053213,4.641108,4.741372,4.527421,0.4499906,0.4489249,0.4560856,0.4303531,1.145456,
34,Giant__PlantId_102_2021-06-15 11.12.23.558,,,,2021-06-15_11.11.28.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-15 11.12.23.558.hips,3.401606,2.695797,5.055027,5.003085,3.09781,2.259438,3.407803,18.74388,18.54609,17.30182,8.250734,8.410883,8.276102,8.542303,12.33401,0.8021746,0.7345195,1.242082,1.24586,0.856958,0.672377,0.8783914,4.317912,4.239482,4.023025,0.789646,0.7572647,0.5995849,0.5090696,1.209378,
35,Giant__PlantId_102_2021-06-16 17.17.11.522,,,,2021-06-16_17.16.16.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-16 17.17.11.522.hips,3.147119,2.44281,4.663332,4.508919,2.82726,2.006907,3.076037,17.30387,16.94568,15.75054,8.197371,8.349958,8.214234,8.516925,12.2768,0.8777378,0.7834094,1.381375,1.351328,1.010551,0.7719992,1.011355,4.274389,4.165643,3.915737,0.6687568,0.7241474,0.5723462,0.490042,1.413635,
36,Giant__PlantId_102_2021-06-17 11.16.28.359,,,,2021-06-17_11.15.31.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-17 11.16.28.359.hips,3.127678,2.310903,4.482225,4.396304,2.635515,1.875897,2.916889,16.91972,16.63162,15.51016,8.125113,8.268795,8.156113,8.47424,12.35889,1.000772,0.8791078,1.512955,1.463859,1.066809,0.856416,1.074322,4.831109,4.874672,4.638958,0.656424,0.6399571,0.6421142,0.5698891,1.589934,
37,Giant__PlantId_102_2021-06-21 17.17.30.631,,,,2021-06-21_17.16.35.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-21 17.17.30.631.hips,3.809793,2.345482,4.452151,4.50201,2.538254,1.868675,2.932654,18.17785,18.30989,17.1665,8.110796,8.217811,8.193137,8.581832,14.56863,1.064225,0.799235,1.268816,1.311158,0.8913111,0.7126236,0.9239228,4.763275,4.796652,4.581474,0.71929,0.6967332,0.4715005,0.4679334,2.310653,
38,Giant__PlantId_102_2021-06-22 11.20.03.764,,,,2021-06-22_11.19.08.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-22 11.20.03.764.hips,4.067726,2.710996,5.133042,5.048976,3.085326,2.183987,3.430546,19.53195,19.53584,18.30888,8.187358,8.28867,8.24562,8.573994,14.67807,1.331845,1.074784,1.959251,1.973441,1.255323,0.9192541,1.329347,5.75121,5.653319,5.411174,1.058061,1.11478,0.8197042,0.7805699,2.353103,
39,Giant__PlantId_102_2021-06-23 17.20.22.565,,,,2021-06-23_17.19.27.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-23 17.20.22.565.hips,4.001187,2.49885,4.589668,4.724108,2.565543,1.892961,3.017534,20.20983,20.27417,19.1719,8.098397,8.216015,8.195165,8.571296,14.9437,1.543339,1.240975,1.882071,1.945337,1.174352,0.9118539,1.282767,7.199368,7.230799,6.932899,0.6581867,0.6411656,0.4930001,0.4617343,2.805878,
40,Giant__PlantId_102_2021-06-24 11.15.57.857,,,,2021-06-24_11.15.02.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_102_2021-06-24 11.15.57.857.hips,3.89856,2.490338,4.533968,4.437722,2.765338,2.027359,3.077149,18.56146,18.52219,17.45515,8.222835,8.326351,8.286252,8.666981,14.97338,1.478967,1.166735,1.627276,1.585698,1.134106,0.9346009,1.181444,6.179022,6.118096,5.866038,1.207564,1.191441,0.7931318,0.7459673,2.595313,
41,Giant__PlantId_103_2021-06-14 18.56.03.786,,,,2021-06-14_18.55.06.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_103_2021-06-14 18.56.03.786.hips,3.429829,2.238883,4.345515,4.4662,2.534981,1.820576,2.914544,18.48488,18.31557,17.10907,8.180414,8.320966,8.242298,8.62381,13.9088,0.9913608,0.860568,1.214339,1.191242,0.8888291,0.7240358,0.8791047,4.600692,4.568106,4.398846,0.4803119,0.4903318,0.4714464,0.4546293,1.524679,
42,Giant__PlantId_103_2021-06-15 10.36.09.897,,,,2021-06-15_10.35.12.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_103_2021-06-15 10.36.09.897.hips,3.577239,2.474478,4.531174,4.454823,2.83427,2.081824,3.093025,18.23475,18.00638,16.82054,8.242929,8.388548,8.30901,8.665423,14.13366,1.077879,0.9990147,1.332677,1.244241,0.9710883,0.8484333,0.9708192,5.26216,5.238048,5.054966,1.290083,1.443511,1.16604,1.136841,1.67298,
43,Giant__PlantId_103_2021-06-16 16.40.06.506,,,,2021-06-16_16.39.11.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_103_2021-06-16 16.40.06.506.hips,3.913385,2.621594,4.783737,4.668597,2.982745,2.153032,3.270378,19.49514,19.19197,17.90428,8.222167,8.359255,8.304583,8.706726,14.79912,1.137665,1.168529,1.536808,1.48398,1.124845,0.8980133,1.120643,5.809824,5.728481,5.519335,0.6026875,0.6014469,0.5645149,0.5247421,2.026337,
44,Giant__PlantId_103_2021-06-17 10.39.47.320,,,,2021-06-17_10.38.50.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_103_2021-06-17 10.39.47.320.hips,3.583173,2.239229,4.246905,4.182901,2.560504,1.832142,2.864765,17.70134,17.50313,16.34155,8.253048,8.375491,8.344232,8.756195,14.65926,0.9174576,0.8921423,1.211383,1.185349,0.8660784,0.6948677,0.8752069,4.639053,4.601037,4.450392,0.6348642,0.6338926,0.5875776,0.5389053,1.835181,
45,Giant__PlantId_103_2021-06-21 16.40.31.543,,,,2021-06-21_16.39.37.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_103_2021-06-21 16.40.31.543.hips,3.980386,2.182988,4.17584,4.314569,2.407979,1.754327,2.764461,18.23269,18.24525,17.17172,8.156082,8.251055,8.249101,8.626985,15.61442,1.371525,0.9107103,1.519506,1.560062,0.9948642,0.7862604,1.055395,5.778068,5.770203,5.552362,0.9403418,0.9379688,0.498383,0.4775079,2.424223,
