plotId	timePoint	S_Width_cm	yPred	sd_yPred	lwr	upr	outlier
4	2020-06-28T00:00:00Z	8.90829984544053	8.772808829001841	0.10459292352179161	8.459030058436467	9.086587599567215	0
4	2020-06-29T00:00:00Z	9.03165378670792	9.047026436966629	0.10236434313110912	8.739933407573302	9.354119466359956	0
4	2020-06-30T00:00:00Z	9.15500772797531	9.225100923756962	0.09937790520788209	8.926967208133316	9.523234639380608	0
4	2020-07-01T00:00:00Z	9.3212673879444	9.315939978536425	0.10041486777775276	9.014695375203168	9.617184581869683	0
4	2020-07-02T00:00:00Z	9.37489953632152	9.390721591818437	0.10013634422599693	9.090312559140447	9.691130624496427	0
4	2020-07-04T00:00:00Z	9.5357959814529	9.533728646571573	0.15662296593803585	9.063859748757466	10.00359754438568	0
4	2020-07-05T00:00:00Z	10.4958114374034	9.60247348512453	0.2498389397009189	8.852956666021774	10.351990304227288	1
5	2020-06-17T00:00:00Z	2.62797527047914	2.628855076027418	0.5133315666804745	1.0888603759859943	4.168849776068841	0
5	2020-06-22T00:00:00Z	3.5933539412674	3.492315576962598	0.3516192675871091	2.437457774201271	4.547173379723926	0
5	2020-06-23T00:00:00Z	3.7917928902627702	4.4304997299259306	0.2944475865514395	3.547156970271612	5.313842489580249	0
5	2020-06-24T00:00:00Z	5.54556414219477	5.493077383957489	0.31578938549796703	4.545709227463588	6.440445540451391	0
5	2020-06-25T00:00:00Z	6.90782071097375	6.5884623909293545	0.36184522682292264	5.502926710460587	7.673998071398122	0
5	2020-06-27T00:00:00Z	7.80884080370946	8.332265856250693	0.35313272423729314	7.272867683538814	9.391664028962573	0
5	2020-06-28T00:00:00Z	9.54652241112832	8.932996868715088	0.31740762798949945	7.98077398474659	9.885219752683586	0
5	2020-06-29T00:00:00Z	9.09064914992275	9.33374286595827	0.33199866447934506	8.337746872520235	10.329738859396304	0
5	2020-06-30T00:00:00Z	9.50897990726433	9.488563668724034	0.36140104867679085	8.404360522693661	10.572766814754406	0
5	2020-07-01T00:00:00Z	9.86295208655336	9.726594745415941	0.3368089604675579	8.716167864013267	10.737021626818615	0
5	2020-07-02T00:00:00Z	10.0721174652241	9.918546515458736	0.3560756908314324	8.85031944296444	10.986773587953033	0
5	2020-07-04T00:00:00Z	9.65914992272029	9.985169931784707	0.31567635031277624	9.038140880846377	10.932198982723037	0
5	2020-07-05T00:00:00Z	10.1203863987636	9.953437668217894	0.4604035823616433	8.572226921132964	11.334648415302825	0
6	2020-06-17T00:00:00Z	5.3900309119011	5.373460257166763	0.47479594297859057	3.9490724282309912	6.797848086102535	0
6	2020-06-22T00:00:00Z	5.29885625965999	5.539110253245746	0.32522333041595314	4.563440261997886	6.514780244493606	0
6	2020-06-23T00:00:00Z	5.61528593508503	6.0630443695609255	0.2723435077614886	5.24601384627646	6.880074892845391	0
6	2020-06-24T00:00:00Z	7.19743431221023	6.622222328478777	0.2920831852202554	5.7459727728180114	7.498471884139543	0
6	2020-06-25T00:00:00Z	6.82200927357035	6.830065944423779	0.33468163041808585	5.826021053169521	7.834110835678036	0
6	2020-06-27T00:00:00Z	7.04190108191656	7.390991445015743	0.3266231723972834	6.411121927823893	8.370860962207594	0
6	2020-06-28T00:00:00Z	7.79811437403403	7.997255735800216	0.2935799468059566	7.116515895382347	8.877995576218087	0
6	2020-06-29T00:00:00Z	8.9404791344668	8.626474132685042	0.3070756392178427	7.705247215031513	9.54770105033857	0
6	2020-06-30T00:00:00Z	9.05846986089648	9.017894313277827	0.3342707965722211	8.015081923561164	10.02070670299449	0
6	2020-07-01T00:00:00Z	8.73131375579601	8.91222146805611	0.3115248279449238	7.977646984221339	9.846795951890881	0
6	2020-07-02T00:00:00Z	8.339799072643	8.676782555238379	0.32934521150400486	7.688746920726365	9.664818189750394	0
6	2020-07-04T00:00:00Z	8.99411128284393	8.586811692834248	0.2919786355474397	7.710875786191929	9.462747599476566	0
6	2020-07-05T00:00:00Z	8.39343122102012	8.598732337518666	0.425841244191758	7.321208604943392	9.87625607009394	0
7	2020-06-17T00:00:00Z	8.4685162287481	2.5845223110639592	0.8869997547158445	-0.07647695308357427	5.245521575211493	1
