image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-01715	C	19/03/2021	vertical	16	675	49	303	661	549	342	316	614	53
ZM009-01715	C	26/03/2021	vertical	1170	12821	10866	7345	14086	6009	1141	1188	2637	4239
ZM009-01715	C	02/04/2021	vertical	1971	16837	18536	17994	38664	33974	45332	20879	6063	14131
ZM009-01715	C	09/04/2021	vertical	3341	17476	18286	19844	37691	33124	43895	52442	42540	53367
ZM009-01715	C	16/04/2021	vertical	2064	18632	23366	28510	56733	49758	65648	79069	61958	113823
ZM009-01715	C	26/04/2021	vertical	2549	13329	16745	18578	39265	35458	48045	66182	61073	106342
ZM009-01715	D	19/03/2021	vertical	198	2175	2130	2252	3880	2114	674	258	96	101
ZM009-01715	D	26/03/2021	vertical	2433	16233	12120	10603	4618	2074	1624	1110	1007	6257
ZM009-01715	D	02/04/2021	vertical	2189	28545	22745	20122	12095	24060	17486	4408	5744	3581
ZM009-01715	D	09/04/2021	vertical	2740	25870	21916	19965	16018	25693	35206	35871	48260	54459
ZM009-01715	D	16/04/2021	vertical	2217	31818	42048	40342	33341	52190	66868	78685	92521	110336
ZM009-01715	D	26/04/2021	vertical	2646	23285	35574	36780	31586	42813	52616	56973	74553	101266
ZM009-01716	A	19/03/2021	vertical	4877	478	286	805	1451	272	336	109	69	61
ZM009-01716	A	26/03/2021	vertical	21352	10580	4580	6217	3261	2395	4096	1248	861	5094
ZM009-01716	A	02/04/2021	vertical	21218	14640	9087	6757	4183	3790	3765	2976	677	2054
ZM009-01716	A	09/04/2021	vertical	25546	32833	14350	14204	8848	15048	30911	32630	32440	64618
ZM009-01716	A	16/04/2021	vertical	17955	53034	21094	16899	14168	18112	39183	36805	42024	116968
ZM009-01716	A	26/04/2021	vertical	14103	39340	25821	14185	10192	9952	26579	20709	31348	105502
ZM009-01716	B	19/03/2021	vertical	14	1496	435	0	21	0	12	0	302	31
ZM009-01716	B	26/03/2021	vertical	1782	21147	14370	9875	6936	3604	1563	866	1078	4328
ZM009-01716	B	02/04/2021	vertical	4881	33662	33280	25018	13021	16543	4148	3113	5518	5198
ZM009-01716	B	09/04/2021	vertical	4383	34012	43497	40236	26710	40046	24092	33818	40596	70396
ZM009-01716	B	16/04/2021	vertical	2159	32553	59480	34002	25864	35307	30020	35875	42087	87876
ZM009-01716	B	26/04/2021	vertical	2206	23331	46588	29114	17085	29560	20539	26586	33349	90753
ZM009-01716	C	19/03/2021	vertical	538	0	8	9	3	0	24	35	260	11
ZM009-01716	C	26/03/2021	vertical	2601	224	1466	965	4376	15410	4162	1858	876	3068
ZM009-01716	C	02/04/2021	vertical	770	9434	20108	30418	18891	30112	17056	12902	10110	6187
ZM009-01716	C	09/04/2021	vertical	1775	13380	33547	50156	39298	53076	47416	46247	89625	92428
ZM009-01716	C	16/04/2021	vertical	1283	5336	23449	44862	42015	59632	53413	51346	96058	113244
ZM009-01716	C	26/04/2021	vertical	2157	4657	15846	27372	35858	45267	46276	45728	90142	102123
ZM009-01716	D	19/03/2021	vertical	466	2107	1274	7	22	36	13	25	157	31
ZM009-01716	D	26/03/2021	vertical	2146	19710	11614	2181	1402	506	300	919	1217	6044
ZM009-01716	D	02/04/2021	vertical	3891	34070	38416	18876	15967	15530	10902	11194	12449	10301
ZM009-01716	D	09/04/2021	vertical	4038	42785	62503	37037	39172	43693	44313	44268	77848	92586
ZM009-01716	D	16/04/2021	vertical	2320	37028	65061	49098	51068	69440	44570	57919	86246	115105
ZM009-01716	D	26/04/2021	vertical	2519	29564	56469	40748	35894	55685	32466	43776	75846	108519
ZM009-02711	A	19/03/2021	vertical	6994	2651	2805	2029	2812	4894	3634	620	1265	2019
ZM009-02711	A	26/03/2021	vertical	29745	17561	18773	6691	3490	2723	400	292	1784	5802
ZM009-02711	A	02/04/2021	vertical	47892	25244	34219	10918	9284	10586	8566	9140	8250	11713
ZM009-02711	A	09/04/2021	vertical	38393	19114	18930	5387	4933	4751	4389	4776	3643	6980
ZM009-02711	A	16/04/2021	vertical	41883	30787	38858	15169	36338	26419	25778	38629	27401	62942
ZM009-02711	A	26/04/2021	vertical	32196	36541	53370	38711	78417	84330	67186	85631	69502	102332
ZM009-02711	B	19/03/2021	vertical	0	1400	158	0	17	0	0	0	113	0
ZM009-02711	B	26/03/2021	vertical	5627	19334	12977	3769	3215	1268	790	1023	6097	3386
ZM009-02711	B	02/04/2021	vertical	7588	31645	26029	17115	5879	3566	5268	9505	14164	6979
ZM009-02711	B	09/04/2021	vertical	11633	22149	16198	10151	4463	3271	3131	5597	6967	3965
ZM009-02711	B	16/04/2021	vertical	10927	39147	36717	31510	28514	18139	28523	43748	40319	41089
ZM009-02711	B	26/04/2021	vertical	8749	36076	57755	55929	56321	62899	93908	92890	80600	87991
ZM009-02711	C	19/03/2021	vertical	0	335	6	34	41	66	10	0	740	121
ZM009-02711	C	26/03/2021	vertical	277	9850	6974	3961	482	470	118	62	1571	4231
ZM009-02711	C	02/04/2021	vertical	1375	27454	27820	27406	28484	12261	3924	5093	8322	1171
ZM009-02711	C	09/04/2021	vertical	4449	22838	24117	20735	20174	15343	9688	14623	11448	10769
ZM009-02711	C	16/04/2021	vertical	5062	55077	48297	57967	55879	53977	46211	57836	58081	71803
ZM009-02711	C	26/04/2021	vertical	2118	52493	84148	78338	79901	84423	74047	112094	95096	103308
ZM009-02711	D	19/03/2021	vertical	571	41	4	995	179	32	17	32	298	1787
ZM009-02711	D	26/03/2021	vertical	2291	7178	4904	6879	5250	1965	288	299	1386	4770
ZM009-02711	D	02/04/2021	vertical	3033	24933	32114	29474	22339	14239	9025	3540	5641	7608
ZM009-02711	D	09/04/2021	vertical	5232	21326	20500	19295	15382	11658	10415	8424	10442	8114
ZM009-02711	D	16/04/2021	vertical	1946	33649	41093	41278	48092	48121	52963	53516	66176	92324
ZM009-02711	D	26/04/2021	vertical	2120	41386	60140	68303	76786	98748	88016	85425	95818	130957
ZM009-02712	A	19/03/2021	vertical	7575	651	277	123	200	280	273	54	1073	125
ZM009-02712	A	26/03/2021	vertical	22679	7579	10227	3460	4042	5413	6298	4227	3331	1978
ZM009-02712	A	02/04/2021	vertical	40967	25600	34922	16195	13209	12914	7470	3292	2395	783
ZM009-02712	A	09/04/2021	vertical	39759	28463	37495	23619	20947	40276	37295	23060	15344	4413
ZM009-02712	A	16/04/2021	vertical	34102	31103	42311	33620	35061	70340	68998	60844	56037	74653
ZM009-02712	A	26/04/2021	vertical	38258	33719	50489	46195	55029	100011	92112	89860	102094	135233
ZM009-02712	B	19/03/2021	vertical	393	648	358	0	14	0	3	9	493	193
ZM009-02712	B	26/03/2021	vertical	7684	9354	4726	4865	1554	194	394	154	1367	3313
ZM009-02712	B	02/04/2021	vertical	13928	30370	17597	16874	17345	9798	11919	591	4264	7297
ZM009-02712	B	09/04/2021	vertical	14010	34976	31073	29200	35966	22530	23785	18480	21897	14404
ZM009-02712	B	16/04/2021	vertical	15311	39631	35116	41006	54441	45154	41298	47772	47279	67218
ZM009-02712	B	26/04/2021	vertical	6120	32824	46313	54021	79447	82707	67279	73180	89946	127189
ZM009-02712	C	19/03/2021	vertical	486	354	31	409	176	14	17	3	808	221
ZM009-02712	C	26/03/2021	vertical	1934	10023	5722	6007	4848	1530	430	1049	2064	1424
ZM009-02712	C	02/04/2021	vertical	4602	45688	49159	33887	15288	8023	6150	9109	4678	2270
ZM009-02712	C	09/04/2021	vertical	5694	49136	51096	35881	31237	25590	18626	19822	11765	10581
ZM009-02712	C	16/04/2021	vertical	7639	54753	57813	45368	50758	47421	42294	51595	49622	87524
ZM009-02712	C	26/04/2021	vertical	2739	45841	64916	52826	66963	72532	63791	80039	78672	144988
ZM009-02712	D	19/03/2021	vertical	1212	1206	370	0	8	4	17	13	444	36
ZM009-02712	D	26/03/2021	vertical	2644	9936	5379	1034	414	323	720	609	1082	3753
ZM009-02712	D	02/04/2021	vertical	6513	28358	30923	24583	31087	13601	8336	8929	4939	774
ZM009-02712	D	09/04/2021	vertical	7526	37507	34287	28608	45297	33124	41422	27180	20338	10855
ZM009-02712	D	16/04/2021	vertical	8075	41280	43331	37950	68668	50502	75285	88754	86865	102013
ZM009-02712	D	26/04/2021	vertical	6365	36972	42853	43516	88968	71344	99264	107956	105979	134778
ZM009-02713	A	19/03/2021	vertical	5436	1490	3183	179	68	14	56	34	355	1192
ZM009-02713	A	26/03/2021	vertical	14309	7499	3957	2111	1056	672	553	316	468	1400
ZM009-02713	A	02/04/2021	vertical	42459	35041	33728	26746	30154	26356	18524	22577	8112	6699
ZM009-02713	A	09/04/2021	vertical	32405	48435	41741	34487	33369	33402	40127	42570	37120	41163
ZM009-02713	A	16/04/2021	vertical	22711	47634	55788	49511	52111	62305	84123	92296	68268	84558
ZM009-02713	A	26/04/2021	vertical	20643	44954	62795	59596	65501	77544	111967	123877	80828	90810
ZM009-02713	B	19/03/2021	vertical	732	2519	446	111	8	4	0	0	347	0
ZM009-02713	B	26/03/2021	vertical	1582	9700	4110	3815	1999	504	1465	223	798	851
ZM009-02713	B	02/04/2021	vertical	4260	52804	50343	37198	33164	16959	14181	12285	12704	5118
ZM009-02713	B	09/04/2021	vertical	5995	53516	51091	46747	38029	25010	25124	24328	25995	38647
ZM009-02713	B	16/04/2021	vertical	6145	58827	62396	54731	52786	41290	48292	53693	56158	87817
ZM009-02713	B	26/04/2021	vertical	4823	53903	74507	62899	66961	55109	64519	77199	80774	93665
ZM009-02713	C	19/03/2021	vertical	0	17	0	34	0	10	20	5	69	34
ZM009-02713	C	26/03/2021	vertical	80	1272	3264	846	391	520	536	516	478	501
ZM009-02713	C	02/04/2021	vertical	1217	32576	49479	37146	29571	40520	20157	14816	7981	8201
ZM009-02713	C	09/04/2021	vertical	2242	34620	52473	48308	48315	51652	36128	24052	24004	30782
ZM009-02713	C	16/04/2021	vertical	2218	38855	60437	60892	62463	76358	61547	50420	62514	85135
