Unit.ID	Timestamp	Date	Time	S_Height_cm	S_Height_pixel	S_Area_cmsquared	S_Area_pixel	S_Perimeter_cm	S_Perimeter_pixel	S_Convex_hull_area_cmsquared	S_Solidity	S_Compactness	S_Width_cm	S_Width_pixel	S_Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
103	2020-02-29 02:43:41	2020-02-29	02:43:41	4.31837606837607	1010.5	0.885153872874273	50737	19.5902808278862	4690.2248891301	NA	NA	0.164004218116525	2.99644221356	734	NA	EPPN3_H	S1	6	6	13	SPPU
104	2020-02-29 02:46:31	2020-02-29	02:46:31	2.72863247863248	638.5	0.468318398081026	26844	12.8577742085763	3078.35569799674	NA	NA	0.140823199840522	2.77191316486	679	NA	EPPN4_L	S1	6	6	14	SPPU
105	2020-02-29 02:49:17	2020-02-29	02:49:17	2.58760683760684	605.5	0.386444674262137	22151	11.6365743457874	2785.9810229537	NA	NA	0.220796362836401	2.15547886752	528	NA	EPPN2_L	S1	6	6	15	SPPU
106	2020-02-29 02:52:07	2020-02-29	02:52:07	3.80555555555556	890.5	0.81441064890547	46682	22.1311434887038	5298.54783234509	NA	NA	0.146127379577076	3.98437002784	976	NA	EPPN2_H	S1	6	6	16	SPPU
107	2020-02-29 02:54:56	2020-02-29	02:54:56	3.30555555555556	773.5	0.488747575705556	28015	13.5141814192928	3235.51002692929	NA	NA	0.192065102631254	1.70642077012	418	NA	EPPN3_L	S1	6	6	17	SPPU
108	2020-02-29 02:57:29	2020-02-29	02:57:29	3.29273504273504	770.5	0.355530495995128	20379	15.4977655062865	3710.41161390692	NA	NA	0.263682943870817	2.75966612584	676	NA	EPPN_T	S1	6	6	18	SPPU
1	2020-03-01 22:02:32	2020-03-01	22:02:32	2.95726495726496	692	0.670935365571453	38458	20.1403930911637	4821.93051661487	NA	NA	0.21161011630471	3.71901751574	911	NA	EPPN1_L	S2	1	1	1	SPPU
2	2020-03-01 22:05:20	2020-03-01	22:05:20	3.21367521367521	752	0.288538145800256	16539	11.7877922364145	2822.18499167331	NA	NA	0.0791673048939266	2.20038467726	539	NA	EPPN_T	S2	1	1	2	SPPU
3	2020-03-01 22:07:57	2020-03-01	22:07:57	4.02350427350427	941.5	0.518161404462992	29701	19.24824259801	4608.3354954612	NA	NA	0.107582304936666	4.40485170086	1079	NA	EPPN2_H	S2	1	1	3	SPPU
4	2020-03-01 22:10:46	2020-03-01	22:10:46	2.95726495726496	692	0.366172509958376	20989	11.7011009744548	2801.42972440146	NA	NA	0.144547364071485	1.95136155052	478	NA	EPPN3_H	S2	1	1	4	SPPU
