Unit.ID	Timestamp	Time	Date	T_Area_cm_squared	T_Area_pixel	T_Perimeter_cm	T_Perimeter_pixel	T_Convex_hull_area_cmsquared	T_Solidity	T_Compactness	T_Roundness	T_Roundness2	T_Isotropy	T_Eccentricity	T_Rms	T_Sol	Genotype	Soil	Replication	Row	Column	Platform
27	2020-03-04 23:12:25	23:12:25	2020-03-04	4.74490390429467	267283	27.1129682396591	6435.00699399814	NA	NA	0.217065860950446	0.0870351830619183	0.638252888890573	0.362250018639399	0.859242587440249	0.963895358966432	35.2796290318437	EPPN4_L	S1	2	2	9	SPPU
29	2020-03-04 23:18:04	23:18:04	2020-03-04	6.50368089792616	391339	31.7236971936054	7781.81225999458	NA	NA	0.325264007297477	0.0812085015240512	0.742176921721075	0.244171010115173	1.4395259240429	0.968470533187904	43.4815883048642	EPPN4_L	S2	2	2	11	SPPU
31	2020-03-04 23:23:45	23:23:45	2020-03-04	8.58589526944275	442531	38.6218577371858	8768.23570827317	NA	NA	0.326891015152646	0.100448210612154	0.70028962436444	0.375124896235459	0.914060981849298	0.930760872502381	41.3420258701173	EPPN1_H	S2	2	2	13	SPPU
33	2020-03-04 23:29:27	23:29:27	2020-03-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S2	2	2	15	SPPU
35	2020-03-04 23:35:08	23:35:08	2020-03-04	6.36009172787338	372635	40.6073021938148	9829.11168314402	NA	NA	0.248900392418803	0.0571850567956285	0.668082140659877	0.361545807520784	0.802813273643697	0.935580361875168	55.8617415204485	EPPN3_L	S2	2	2	17	SPPU
37	2020-03-04 23:40:39	23:40:39	2020-03-04	3.65161904928085	192972	31.4211617300637	7223.1503551114	NA	NA	0.174326779697834	0.0663076176570254	0.770327356528451	0.466233695782006	0.842525310097842	0.842220619501185	55.6390564177442	EPPN_T	S2	3	3	1	SPPU
39	2020-03-04 23:46:20	23:46:20	2020-03-04	7.82803516236169	357686	36.016844957814	7698.92791695979	NA	NA	0.37130403294855	0.0920576119864916	0.510941944164693	0.339036793189629	1.75598076959443	0.980082684576028	30.9227150296428	EPPN3_H	S2	3	3	3	SPPU
41	2020-03-04 23:51:40	23:51:40	2020-03-04	7.73627173095626	424693	41.9379837324675	9826.05612617118	NA	NA	0.443056388465295	0.0946247420801043	0.689336403493931	0.340626937966123	1.06532307575755	0.966955079830858	40.3816208189232	EPPN3_L	S2	3	3	5	SPPU
43	2020-03-04 23:57:12	23:57:12	2020-03-04	6.74677982106569	347740	33.4658073881361	7597.66889888163	NA	NA	0.408282071143005	0.091019338468774	0.548802547537255	0.32277936751956	1.2957483810338	0.973177832915144	37.3409871188704	EPPN1_L	S2	3	3	7	SPPU
45	2020-03-05 00:02:35	00:02:35	2020-03-05	7.01573430053046	439665	44.216839829408	10038.4522292392	NA	NA	0.287622921649387	0.0742458485354217	0.811324407823193	0.312360480491085	0.614423428199905	0.869689713915724	75.7959288593936	EPPN2_H	S2	3	3	9	SPPU
47	2020-03-05 00:08:11	00:08:11	2020-03-05	6.93864113595379	380906	33.7148276719605	7899.37330087715	NA	NA	0.449290217564388	0.0810864783134465	0.605169133404398	0.430668756131949	1.42470965524754	0.987788086961377	41.6003988156043	EPPN3_L	S1	3	3	11	SPPU
49	2020-03-05 00:13:51	00:13:51	2020-03-05	12.3630048260697	614124	55.2819371535205	12321.0939315873	NA	NA	0.320886093807313	0.07824658354785	0.703677005332204	0.585521030652719	0.674458706348594	0.929248742631779	55.5240785143787	EPPN2_L	S1	3	3	13	SPPU
