Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution]
EPPN3_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN3_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-07714,Column,,row=3; column=9; rep=4
EPPN3_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN3_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-07715,Column,,row=4; column=4; rep=5
EPPN3_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN3_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-07716,Column,,row=6; column=5; rep=6
EPPN4_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN4_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-08711,Column,,row=1; column=3; rep=1
EPPN4_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN4_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-08712,Column,,row=2; column=1; rep=2
EPPN4_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN4_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-08713,Column,,row=2; column=3; rep=3
EPPN4_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN4_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-08714,Column,,row=4; column=10; rep=4
EPPN4_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN4_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-08715,Column,,row=5; column=8; rep=5
EPPN4_H,NCBITAXON:4577 ,Zea,Zea Mays,EPPN4_H,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-08716,Column,,row=6; column=6; rep=6
EPPN_T,NCBITAXON:4577 ,Zea,Zea Mays,EPPN_T,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-09711,Column,,row=1; column=4; rep=1
EPPN_T,NCBITAXON:4577 ,Zea,Zea Mays,EPPN_T,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-09712,Column,,row=1; column=9; rep=2
EPPN_T,NCBITAXON:4577 ,Zea,Zea Mays,EPPN_T,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-09713,Column,,row=4; column=5; rep=3
EPPN_T,NCBITAXON:4577 ,Zea,Zea Mays,EPPN_T,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-09714,Column,,row=4; column=8; rep=4
EPPN_T,NCBITAXON:4577 ,Zea,Zea Mays,EPPN_T,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-09715,Column,,row=5; column=9; rep=5
EPPN_T,NCBITAXON:4577 ,Zea,Zea Mays,EPPN_T,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-09716,Column,,row=6; column=10; rep=6
