plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-02	B	02/04/2021	lat:tot	0.295424738	0.218336708	0.28155446	0.291294619	0.318706298	0.315866312	0.292739206	0.365527414	0.26985229	0.451824406	0.058664521	0.055408224	0.043568307	0.089739515	0.10387373	0.150937999	0.124542099	0.135470984	0.112612998	0.129869401	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	09/04/2021	lat:tot	0.358752472	0.255955185	0.295856473	0.325179882	0.359161377	0.381794587	0.374595492	0.402902904	0.370064525	0.432079178	0.065269011	0.064067275	0.088671987	0.084973553	0.104918342	0.092153261	0.095453377	0.080524347	0.070932916	0.106458542	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	16/04/2021	lat:tot	0.319935692	0.234051368	0.269447145	0.298352594	0.318164313	0.324967323	0.319591598	0.317924285	0.287179442	0.317942663	0.047711732	0.055190247	0.034325884	0.025933749	0.048538803	0.05451368	0.062706384	0.062007455	0.058573288	0.067946573	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	26/04/2021	lat:tot	0.381502168	0.245092991	0.267900842	0.293805558	0.315839368	0.327266562	0.304626229	0.31517216	0.280335497	0.30476252	0.017498263	0.059480137	0.02357453	0.006665359	0.045814142	0.045760026	0.054269355	0.055051375	0.042660872	0.032004438	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	19/03/2021	lat:tot	0.302766969	0.16605098	0.262993422	0.265704386	0.279539015	NA	NA	NA	0.100284371	NA	0.201027604	NA	NA	NA	NA	NA	NA	NA	0.027633778	NA	2	1	1	1	1	0	0	0	2	0
ZM009-02	C	26/03/2021	lat:tot	0.299113769	0.230795058	0.230822031	0.32763227	0.347554904	0.345189592	0.482568577	0.363678909	0.311463708	0.791029881	0.149698064	0.118633088	0.085340235	0.140732258	0.095792616	0.112889544	0.079311688	0.029340529	0.200962415	0.078379556	3	6	6	6	6	5	4	4	6	6
ZM009-02	C	02/04/2021	lat:tot	0.288555454	0.203753699	0.20419207	0.237013844	0.264050509	0.257409409	0.330474487	0.297867415	0.275805251	0.512601421	0.061815007	0.027505607	0.040185936	0.05986889	0.080739823	0.118423238	0.102278173	0.094366357	0.145849015	0.130262589	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	09/04/2021	lat:tot	0.356236451	0.243569691	0.239287176	0.282101922	0.290811426	0.336593842	0.39231153	0.379224534	0.376590127	0.448183886	0.055088449	0.065145981	0.062630646	0.068145469	0.053320533	0.03380138	0.045227321	0.085938105	0.097977814	0.094941877	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	16/04/2021	lat:tot	0.33578794	0.21005251	0.226164317	0.248349606	0.266363549	0.29513112	0.343913273	0.330457277	0.310772855	0.325747028	0.067709991	0.026535854	0.041864699	0.060259387	0.038454854	0.044467759	0.055084865	0.042750987	0.029451565	0.049007774	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	26/04/2021	lat:tot	0.473086663	0.221801171	0.230290888	0.260178765	0.273793506	0.290204505	0.333620511	0.304675927	0.309246358	0.330462422	0.041139178	0.034536044	0.02773059	0.055026111	0.034542629	0.033683698	0.038542651	0.033602019	0.024059735	0.044951232	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	19/03/2021	lat:tot	0.398169014	0.312677403	0.310787215	0.231137145	NA	NA	NA	NA	0.333328328	0.513860852	0.095092914	0.126750737	0.144334482	0.03676178	NA	NA	NA	NA	NA	0.052093429	4	5	4	3	0	0	0	0	1	2
ZM009-02	D	26/03/2021	lat:tot	0.411290482	0.303232671	0.300800843	0.359442594	0.424061061	0.532037814	0.502331048	0.521832907	0.282011307	0.784140663	0.148065705	0.075298799	0.11024377	0.112818523	0.101861379	0.077689701	0.070614945	0.048569955	0.148327004	0.053284279	6	6	6	6	6	6	4	3	6	6
ZM009-02	D	02/04/2021	lat:tot	0.379030509	0.223641163	0.20470064	0.250386163	0.315312935	0.269535721	0.253352167	0.254837889	0.243566294	0.487579474	0.126427456	0.057711729	0.057398415	0.06553474	0.094862405	0.059043502	0.064996009	0.098319316	0.131648243	0.303770272	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	09/04/2021	lat:tot	0.427149434	0.260840633	0.251661083	0.310117341	0.347047741	0.360786375	0.34276439	0.326969926	0.308169132	0.335740792	0.091574249	0.067963316	0.052479811	0.034965151	0.07475655	0.057758745	0.071311384	0.078544524	0.018221779	0.084675118	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	16/04/2021	lat:tot	0.453940353	0.240147146	0.225414556	0.278783518	0.299213699	0.327110131	0.321244802	0.287993858	0.278914817	0.275969394	0.100558337	0.043961445	0.026848078	0.036947909	0.059053137	0.032728055	0.044652025	0.035436379	0.040644993	0.034315325	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	26/04/2021	lat:tot	0.468130595	0.238477885	0.234037744	0.291545301	0.309715891	0.310392996	0.314949177	0.291431997	0.280801651	0.279583809	0.076427113	0.045003408	0.028870232	0.035566892	0.0497631	0.028171903	0.023609258	0.032946395	0.03065008	0.041758863	6	6	6	6	6	6	6	6	6	6
ZM009-03	A	19/03/2021	lat:tot	0.213751569	0.348382841	0.333807344	0.362227328	0.463173384	0.416519651	NA	NA	0.196124081	0.35798809	0.037656588	0.08509234	0.132785462	0.099197671	0.046742561	NA	NA	NA	0.057376051	NA	5	5	5	4	3	1	0	0	2	1
ZM009-03	A	26/03/2021	lat:tot	0.384163009	0.409873766	0.350341282	0.35457284	0.400286471	0.385558191	0.451555776	0.479061208	0.377952379	0.782432817	0.091146017	0.05973056	0.050951201	0.075316141	0.048340009	0.095717698	0.135887126	0.140247867	0.145765743	0.090427565	6	6	6	6	6	5	6	6	6	6
ZM009-03	A	02/04/2021	lat:tot	0.310976801	0.328855475	0.327678896	0.327528893	0.359164226	0.358660314	0.386589189	0.343955926	0.265890785	0.498635173	0.074179156	0.042967979	0.079436068	0.075483557	0.081630676	0.100594849	0.119509405	0.109818295	0.15815231	0.086963817	6	6	6	6	6	6	6	6	6	6
ZM009-03	A	09/04/2021	lat:tot	0.295115677	0.30733449	0.328287157	0.332991228	0.378416468	0.408826464	0.418914197	0.392599357	0.389602183	0.417243154	0.113718813	0.075114376	0.054862159	0.082891227	0.091018788	0.059033136	0.070689714	0.115686892	0.112098787	0.14720192	6	6	6	6	6	6	6	6	6	6
ZM009-03	A	16/04/2021	lat:tot	0.280518629	0.257487231	0.278508692	0.281069176	0.329496006	0.335488161	0.358065114	0.322487966	0.331774696	0.318462603	0.103081698	0.049774888	0.046921633	0.069798157	0.054481587	0.035513551	0.030237645	0.034112001	0.026755242	0.061215876	6	6	6	6	6	6	6	6	6	6
