datetime	INPUT1
19/03/2021 06:14	446.8097667
19/03/2021 06:19	447.4931667
19/03/2021 06:24	448.1720333
19/03/2021 06:29	448.7610333
19/03/2021 06:34	448.7223
19/03/2021 06:39	448.256
19/03/2021 06:44	448.1753333
19/03/2021 06:49	448.5021333
19/03/2021 06:54	449.1695667
19/03/2021 06:59	449.5918
19/03/2021 07:04	449.5071
19/03/2021 07:09	449.4715667
19/03/2021 07:14	449.9771
19/03/2021 07:19	451.0926
19/03/2021 07:24	452.4869667
19/03/2021 07:29	452.9886
19/03/2021 07:34	453.4135333
19/03/2021 07:39	454.3851667
19/03/2021 07:44	456.5670667
19/03/2021 07:49	457.4121333
19/03/2021 07:54	457.1329
19/03/2021 07:59	458.1925
19/03/2021 08:04	459.9771333
19/03/2021 08:09	461.9867667
19/03/2021 08:14	469.2795
19/03/2021 08:19	498.4081667
19/03/2021 08:24	500.5573667
19/03/2021 08:29	499.4051667
19/03/2021 08:34	499.66
19/03/2021 08:39	500.9594667
19/03/2021 08:44	501.2263667
19/03/2021 08:49	501.4408532
19/03/2021 08:54	501.6603667
19/03/2021 08:59	503.6435
19/03/2021 09:04	505.7928
19/03/2021 09:09	465.3418
19/03/2021 09:14	173.7039
19/03/2021 09:19	117.8136667
19/03/2021 09:24	120.7612667
19/03/2021 09:29	120.0294
19/03/2021 09:34	120.0315
19/03/2021 09:39	120.7675333
19/03/2021 09:44	120.6298333
19/03/2021 09:49	121.6412333
19/03/2021 09:54	122.0006
19/03/2021 09:59	127.8725667
19/03/2021 10:04	136.2629
19/03/2021 10:09	138.1969
19/03/2021 10:14	132.2855518
19/03/2021 10:19	128.2562333
19/03/2021 10:24	129.1636333
19/03/2021 10:29	133.0676667
19/03/2021 10:34	134.7047
19/03/2021 10:39	142.6297667
19/03/2021 10:44	149.9691333
19/03/2021 10:49	146.4806
19/03/2021 10:54	140.7305333
19/03/2021 10:59	141.5857667
19/03/2021 11:04	142.3116333
19/03/2021 11:09	147.2297333
19/03/2021 11:14	150.2839
19/03/2021 11:19	147.5961
19/03/2021 11:24	147.0992
19/03/2021 11:29	154.6246
19/03/2021 11:34	173.524
19/03/2021 11:39	193.9623667
19/03/2021 11:44	183.5164333
19/03/2021 11:49	168.6474333
19/03/2021 11:54	144.3681
19/03/2021 11:59	139.4923333
19/03/2021 12:04	139.9894333
19/03/2021 12:09	150.6437333
19/03/2021 12:14	148.0511333
19/03/2021 12:19	151.0101667
19/03/2021 12:24	191.8954333
19/03/2021 12:29	178.5463333
19/03/2021 12:34	159.3497667
19/03/2021 12:39	196.7308333
19/03/2021 12:44	467.5074667
19/03/2021 12:49	553.5435
19/03/2021 12:54	549.6885333
19/03/2021 12:59	553.6407667
19/03/2021 13:04	546.5504
19/03/2021 13:09	539.7220667
19/03/2021 13:14	557.0340667
19/03/2021 13:19	565.1506
19/03/2021 13:24	571.4498667
19/03/2021 13:29	552.1569
19/03/2021 13:34	538.6762333
19/03/2021 13:39	536.9459
19/03/2021 13:44	536.8384667
19/03/2021 13:49	536.3778
19/03/2021 13:54	534.2308333
19/03/2021 13:59	534.0815333
19/03/2021 14:04	535.839
19/03/2021 14:09	535.9568
19/03/2021 14:14	531.9702667
19/03/2021 14:19	530.2131
19/03/2021 14:24	562.9306667
19/03/2021 14:29	571.4958362
19/03/2021 14:34	601.8019
19/03/2021 14:39	440.7198667
19/03/2021 14:44	179.2069667
19/03/2021 14:49	313.2981333
19/03/2021 14:54	434.681
