plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-03	B	19/03/2021	lat:vert	0.458290549	1.108143202	0.412665175	0.635523026	NA	NA	NA	NA	0.242656699	NA	0.311502787	1.149541709	0.158628283	NA	NA	NA	NA	NA	NA	NA	2	4	3	1	0	0	0	0	1	0
ZM009-03	B	26/03/2021	lat:vert	0.951647083	0.777379155	0.827133305	0.647538406	0.760353356	0.557344564	0.812564544	1.314652661	0.517437865	5.390320163	0.531726794	0.296282429	0.423205325	0.157163461	0.28541239	0.2376127	0.254657701	0.587355244	0.513233104	2.659969792	6	6	6	6	6	6	6	4	4	6
ZM009-03	B	02/04/2021	lat:vert	0.855466351	0.527444226	0.515301396	0.562393622	0.771288068	0.603139379	0.621174521	0.696170962	0.455345434	1.650106201	0.431934153	0.131896943	0.151403907	0.270910751	0.262753292	0.304253126	0.258290478	0.28782782	0.218506223	1.294291776	6	6	6	6	6	6	6	6	6	5
ZM009-03	B	09/04/2021	lat:vert	1.000559112	0.523948651	0.559170864	0.653469454	0.715935975	0.670603187	0.673084382	0.702412599	0.746545719	0.785938369	0.379012156	0.124582067	0.228919947	0.238684474	0.143370538	0.095493936	0.155559868	0.418993091	0.391928173	0.523593058	6	6	6	6	6	6	6	6	6	6
ZM009-03	B	16/04/2021	lat:vert	0.858803576	0.459138764	0.458946674	0.51167266	0.585186011	0.513501512	0.51507854	0.436668342	0.482721821	0.481602011	0.29414333	0.119376841	0.181772601	0.112494529	0.111877423	0.063227425	0.103846981	0.041017919	0.064150885	0.104178626	6	6	6	6	6	6	6	6	6	6
ZM009-03	B	26/04/2021	lat:vert	1.088662705	0.4313462	0.437444558	0.477069291	0.552052872	0.515709332	0.472528991	0.427285792	0.467123927	0.411455274	0.338986069	0.103799122	0.174241008	0.068223844	0.110338175	0.083549408	0.107379652	0.031043503	0.083293743	0.07720871	6	6	6	6	6	6	6	6	6	6
ZM009-03	C	19/03/2021	lat:vert	0.345545057	0.480563136	0.614679225	1.233616408	1.516790462	NA	NA	NA	NA	0.513948868	0.208098295	0.343789381	0.599661999	NA	NA	NA	NA	NA	NA	NA	3	2	2	1	1	0	0	0	0	1
ZM009-03	C	26/03/2021	lat:vert	0.801674945	0.523422279	0.528040627	0.697600115	0.779755405	0.800864371	0.673614295	1.067340023	0.451290753	3.879381829	0.513863041	0.177556947	0.22094191	0.224005609	0.162248547	0.194820975	0.258966634	0.874009961	0.347393338	2.021192586	6	6	6	6	5	5	5	4	6	6
ZM009-03	C	02/04/2021	lat:vert	0.554526827	0.545448945	0.505705369	0.698166746	0.703916565	0.703077007	0.58880667	0.592191966	0.259959562	0.749162332	0.219223914	0.13667528	0.060570343	0.146749733	0.101451321	0.204343665	0.197694522	0.266604771	0.139041854	0.332144719	6	6	6	6	6	6	6	6	6	6
ZM009-03	C	09/04/2021	lat:vert	0.735493874	0.505810823	0.515878181	0.583756802	0.705852119	0.73195327	0.682266999	0.768863039	0.76071697	1.041567975	0.41467008	0.143606139	0.151611101	0.197806634	0.156674435	0.260516058	0.171471013	0.237281783	0.264385867	0.463772402	6	6	6	6	6	6	6	6	6	6
