image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-01715	D	09/04/2021	lateral	2296	6904	7131	9779	11629	15861	18516	23720	19374	27122
ZM009-01715	D	16/04/2021	lateral	1953	7481	9652	12834	22163	24921	31310	35853	30058	35501
ZM009-01715	D	26/04/2021	lateral	2417	6832	8085	10728	18550	27465	24307	29179	26333	35900
ZM009-01716	A	19/03/2021	lateral	2262	85	60	689	918	301	362	49	11	88
ZM009-01716	A	26/03/2021	lateral	9256	4127	2433	2073	2352	1892	2823	1761	661	14531
ZM009-01716	A	02/04/2021	lateral	9000	6917	5400	3001	1584	4685	2342	2158	493	6417
ZM009-01716	A	09/04/2021	lateral	9715	8927	7997	5846	5338	11956	16671	13893	15224	21537
ZM009-01716	A	16/04/2021	lateral	7962	9450	8439	8829	10545	14264	23334	19622	18030	36660
ZM009-01716	A	26/04/2021	lateral	7566	9068	7607	9139	6792	9686	17415	14176	14672	35735
ZM009-01716	B	19/03/2021	lateral	0	906	292	8	19	0	0	0	90	4
ZM009-01716	B	26/03/2021	lateral	676	13673	8309	5717	4343	1909	2064	1262	924	12487
ZM009-01716	B	02/04/2021	lateral	3819	23003	20716	15908	9037	10260	2820	1685	5666	4759
ZM009-01716	B	09/04/2021	lateral	3644	20799	22718	21678	14081	18272	11522	15976	21937	29737
ZM009-01716	B	16/04/2021	lateral	2031	11556	14633	17857	14132	15292	13288	17880	21467	36017
ZM009-01716	B	26/04/2021	lateral	2597	9410	13382	15655	11986	14552	10392	13468	18193	32434
ZM009-01716	C	19/03/2021	lateral	519	0	6	0	0	8	42	25	57	22
ZM009-01716	C	26/03/2021	lateral	3479	154	543	675	987	7839	1855	564	201	12022
ZM009-01716	C	02/04/2021	lateral	527	3370	15711	16096	13217	19550	8787	8455	5546	6878
ZM009-01716	C	09/04/2021	lateral	1752	6929	22172	21695	22883	25383	18457	24833	23092	34075
ZM009-01716	C	16/04/2021	lateral	1291	3603	15124	17487	18608	23547	20120	27314	24046	43675
ZM009-01716	C	26/04/2021	lateral	4833	3700	11746	15703	15181	17715	17158	25606	23178	44695
ZM009-01716	D	19/03/2021	lateral	178	790	325	10	22	18	0	33	35	15
ZM009-01716	D	26/03/2021	lateral	1170	6594	4798	993	861	768	222	1528	371	11689
ZM009-01716	D	02/04/2021	lateral	2866	14497	19965	13731	11583	9177	8312	6652	11151	10785
ZM009-01716	D	09/04/2021	lateral	3807	15335	25707	23840	24284	24189	28676	26678	35666	42989
ZM009-01716	D	16/04/2021	lateral	1856	9854	18675	23022	27085	24775	31725	30707	37396	49265
ZM009-01716	D	26/04/2021	lateral	2541	8776	16311	20442	19352	21360	26592	27003	35462	48066
ZM009-02711	A	19/03/2021	lateral	4908	1292	1380	1375	2205	3797	3471	532	1536	2424
ZM009-02711	A	26/03/2021	lateral	12428	11650	7193	3227	2835	792	237	547	591	9878
ZM009-02711	A	02/04/2021	lateral	14030	12271	9909	5023	6543	10449	5944	5824	2751	6106
ZM009-02711	A	09/04/2021	lateral	17912	13229	8351	3664	4638	6330	5211	5127	4235	7940
ZM009-02711	A	16/04/2021	lateral	11607	12742	9416	6848	14443	18626	20385	22717	20059	22860
ZM009-02711	A	26/04/2021	lateral	10147	13491	15069	17047	31216	39707	35527	39796	41594	40892
ZM009-02711	B	19/03/2021	lateral	0	220	35	11	0	0	0	0	61	13
ZM009-02711	B	26/03/2021	lateral	3689	8236	7924	3753	4207	1182	773	476	1151	10468
ZM009-02711	B	02/04/2021	lateral	4912	12106	12735	11505	6173	2027	2258	3726	5878	5216
ZM009-02711	B	09/04/2021	lateral	10292	12817	11924	8837	5440	3767	3360	5423	5923	5316
ZM009-02711	B	16/04/2021	lateral	7269	12873	15888	16606	16691	12563	16087	14557	16630	22964
